Fecha,Q
20/08/1987,21.116
21/08/1987,18.217
22/08/1987,16.415
23/08/1987,15.175
24/08/1987,13.404
25/08/1987,12.292
26/08/1987,11.527
27/08/1987,10.954
28/08/1987,19.739
29/08/1987,165.053
30/08/1987,236.026
31/08/1987,158.353
09/01/1987,35.13
09/02/1987,21.167
09/03/1987,18.065
09/04/1987,15.84
09/05/1987,14.164
09/06/1987,12.666
09/07/1987,11.648
09/08/1987,10.764
09/09/1987,10.218
09/10/1987,10.186
09/11/1987,10.163
09/12/1987,9.733
13/09/1987,9.387
14/09/1987,11.437
15/09/1987,129.754
16/09/1987,318.824
17/09/1987,196.365
18/09/1987,51.355
19/09/1987,19.342
20/09/1987,15.884
21/09/1987,13.531
22/09/1987,11.894
23/09/1987,10.834
24/09/1987,10.328
25/09/1987,9.379
26/09/1987,8.837
27/09/1987,8.498
28/09/1987,7.922
29/09/1987,7.744
30/09/1987,9.186
10/01/1987,11.622
10/02/1987,12.508
10/03/1987,11.804
10/04/1987,9.479
10/05/1987,8.412
10/06/1987,7.908
10/07/1987,7.723
10/08/1987,7.699
10/09/1987,7.544
10/10/1987,14.26
10/11/1987,145.338
10/12/1987,298.559
13/10/1987,267.236
14/10/1987,73.545
15/10/1987,23.176
16/10/1987,20.338
17/10/1987,30.007
18/10/1987,25.054
19/10/1987,19.79
20/10/1987,14.444
21/10/1987,12.124
22/10/1987,10.569
23/10/1987,9.581
24/10/1987,8.602
25/10/1987,7.902
26/10/1987,7.365
27/10/1987,6.872
28/10/1987,6.831
29/10/1987,6.831
30/10/1987,6.831
31/10/1987,6.831
11/01/1987,6.831
11/02/1987,6.831
11/03/1987,6.831
11/04/1987,6.831
11/05/1987,8.196
11/06/1987,31.339
11/07/1987,45.143
11/08/1987,27.212
11/09/1987,14.972
11/10/1987,12.201
11/11/1987,10.379
11/12/1987,9.078
13/11/1987,12.811
14/11/1987,72.06
15/11/1987,60.31
16/11/1987,74.235
17/11/1987,61.858
18/11/1987,82.907
19/11/1987,508.105
20/11/1987,462.021
21/11/1987,371.469
22/11/1987,118.51
23/11/1987,48.114
24/11/1987,21.259
25/11/1987,15.952
26/11/1987,14.315
27/11/1987,12.299
28/11/1987,10.868
29/11/1987,9.428
30/11/1987,8.332
12/01/1987,7.365
12/02/1987,6.831
12/03/1987,11.103
12/04/1987,75.822
12/05/1987,53.614
12/06/1987,23.13
12/07/1987,16.193
12/08/1987,12.055
12/09/1987,16.701
12/10/1987,14.932
12/11/1987,10.535
12/12/1987,9.494
13/12/1987,10.451
14/12/1987,9.104
15/12/1987,7.203
16/12/1987,7.371
17/12/1987,61.911
18/12/1987,167.564
19/12/1987,51.58
20/12/1987,17.245
21/12/1987,12.167
22/12/1987,9.975
23/12/1987,8.49
24/12/1987,7.451
25/12/1987,6.811
26/12/1987,6.87
27/12/1987,22.126
28/12/1987,76.189
29/12/1987,118.031
30/12/1987,118.24
31/12/1987,99.402
01/01/1988,55.089
01/02/1988,27.033
01/03/1988,14.184
01/04/1988,9.986
01/05/1988,8.846
01/06/1988,8.095
01/07/1988,7.703
01/08/1988,7.2
01/09/1988,6.549
01/10/1988,5.75
01/11/1988,5.228
01/12/1988,5.19
13/01/1988,5.444
14/01/1988,10.581
15/01/1988,12.728
16/01/1988,13.656
17/01/1988,11.118
18/01/1988,14.899
19/01/1988,50.792
20/01/1988,84.793
21/01/1988,297.251
22/01/1988,667.914
23/01/1988,582.655
24/01/1988,183.878
25/01/1988,39.975
26/01/1988,19.575
27/01/1988,26.525
28/01/1988,49.315
29/01/1988,129.332
30/01/1988,155.365
31/01/1988,80.074
02/01/1988,28.26
02/02/1988,20.02
02/03/1988,18.533
02/04/1988,14.1
02/05/1988,11.185
02/06/1988,9.446
02/07/1988,8.235
02/08/1988,6.739
