Estacion,Fecha,Q
15,01/01/1980,5.522
15,02/01/1980,5.434
15,03/01/1980,5.125
15,04/01/1980,4.841
15,05/01/1980,4.767
15,06/01/1980,4.61
15,07/01/1980,4.312
15,08/01/1980,4.153
15,09/01/1980,4.042
15,10/01/1980,3.868
15,11/01/1980,4.074
15,12/01/1980,4.257
15,13/01/1980,4.651
15,14/01/1980,4.943
15,15/01/1980,5.255
15,16/01/1980,5.327
15,17/01/1980,5.161
15,18/01/1980,4.844
15,19/01/1980,4.61
15,20/01/1980,4.305
15,21/01/1980,4.048
15,22/01/1980,3.804
15,23/01/1980,3.481
15,24/01/1980,3.291
15,25/01/1980,3.235
15,26/01/1980,3.066
15,27/01/1980,2.889
15,28/01/1980,2.66
15,29/01/1980,2.56
15,30/01/1980,2.453
15,31/01/1980,2.404
15,01/02/1980,2.275
15,02/02/1980,2.392
15,03/02/1980,2.483
15,04/02/1980,2.618
15,05/02/1980,2.935
15,06/02/1980,2.672
15,07/02/1980,2.529
15,08/02/1980,2.686
15,09/02/1980,2.984
15,10/02/1980,3.603
15,11/02/1980,4.607
15,12/02/1980,5.83
15,13/02/1980,6.757
15,14/02/1980,6.857
15,15/02/1980,6.485
15,16/02/1980,5.99
15,17/02/1980,5.359
15,18/02/1980,4.788
15,19/02/1980,4.259
15,20/02/1980,3.78
15,21/02/1980,3.667
15,22/02/1980,4.028
15,23/02/1980,4.507
15,24/02/1980,4.798
15,25/02/1980,4.528
15,26/02/1980,4.397
15,27/02/1980,4.145
15,28/02/1980,3.817
15,29/02/1980,3.703
15,01/03/1980,3.746
15,02/03/1980,3.846
15,03/03/1980,3.907
15,04/03/1980,4.246
15,05/03/1980,4.765
15,06/03/1980,5.316
15,07/03/1980,5.838
15,08/03/1980,6.124
15,09/03/1980,6.469
15,10/03/1980,6.799
15,11/03/1980,7.15
15,12/03/1980,7.805
15,13/03/1980,8.645
15,14/03/1980,9.164
15,15/03/1980,8.988
15,16/03/1980,8.553
15,17/03/1980,8.182
15,18/03/1980,7.75
15,19/03/1980,7.216
15,20/03/1980,6.751
15,21/03/1980,6.257
15,22/03/1980,5.855
15,23/03/1980,5.426
15,24/03/1980,5.28
15,25/03/1980,5.181
15,26/03/1980,5.314
15,27/03/1980,5.334
15,28/03/1980,5.39
15,29/03/1980,5.637
15,30/03/1980,6.189
15,31/03/1980,7.301
15,01/04/1980,9.197
15,02/04/1980,10.075
15,03/04/1980,10.132
15,04/04/1980,10.276
15,05/04/1980,9.741
15,06/04/1980,8.716
15,07/04/1980,7.849
15,08/04/1980,7.161
15,09/04/1980,6.818
15,10/04/1980,6.807
15,11/04/1980,6.843
15,12/04/1980,7.394
15,13/04/1980,8.329
15,14/04/1980,10.067
15,15/04/1980,13.558
15,16/04/1980,16.358
15,17/04/1980,18.51
15,18/04/1980,19.859
15,19/04/1980,20.797
15,20/04/1980,21.74
15,21/04/1980,20.849
15,22/04/1980,19.894
15,23/04/1980,22.102
15,24/04/1980,30.764
15,25/04/1980,41.084
15,26/04/1980,48.983
15,27/04/1980,53.599
15,28/04/1980,52.849
15,29/04/1980,50.021
15,30/04/1980,57.875
15,01/05/1980,69.717
15,02/05/1980,81.174
15,03/05/1980,72.677
15,04/05/1980,59.478
15,05/05/1980,54.018
15,06/05/1980,60.347
15,07/05/1980,63.444
15,08/05/1980,54.564
15,09/05/1980,41.779
15,10/05/1980,32.751
15,11/05/1980,26.934
15,12/05/1980,23.578
15,13/05/1980,21.437
15,14/05/1980,20.114
15,15/05/1980,19.615
15,16/05/1980,19.15
15,17/05/1980,18.056
15,18/05/1980,16.621
15,19/05/1980,15.432
15,20/05/1980,14.218
15,21/05/1980,13.192
15,22/05/1980,13.114
15,23/05/1980,12.923
15,24/05/1980,13.453
15,25/05/1980,19.211
15,26/05/1980,35.237
15,27/05/1980,62.601
15,28/05/1980,83.923
15,29/05/1980,79.07
15,30/05/1980,66.528
15,31/05/1980,53.375
15,01/06/1980,58.679
15,02/06/1980,94.027
15,03/06/1980,119.025
15,04/06/1980,128.071
15,05/06/1980,135.098
15,06/06/1980,125.213
15,07/06/1980,98.364
15,08/06/1980,73.806
15,09/06/1980,60.633
15,10/06/1980,52.911
15,11/06/1980,52.524
15,12/06/1980,62.648
15,13/06/1980,112.304
15,14/06/1980,216.943
15,15/06/1980,311.968
15,16/06/1980,335.539
15,17/06/1980,336.989
15,18/06/1980,359.69
15,19/06/1980,347.943
15,20/06/1980,306.103
15,21/06/1980,259.318
15,22/06/1980,235.832
15,23/06/1980,220.36
15,24/06/1980,204.238
15,25/06/1980,190.669
15,26/06/1980,170.751
15,27/06/1980,156.199
15,28/06/1980,162.289
15,29/06/1980,188.165
15,30/06/1980,219.239
15,01/07/1980,239.457
15,02/07/1980,231.349
15,03/07/1980,223.193
