Estacion,Fecha,Q
119,01/01/1980,0.959
119,02/01/1980,0.959
119,03/01/1980,0.959
119,04/01/1980,0.959
119,05/01/1980,0.959
119,06/01/1980,0.959
119,07/01/1980,0.959
119,08/01/1980,0.959
119,09/01/1980,0.959
119,10/01/1980,0.959
119,11/01/1980,0.959
119,12/01/1980,0.959
119,13/01/1980,0.939
119,14/01/1980,0.737
119,15/01/1980,0.717
119,16/01/1980,0.717
119,17/01/1980,0.699
119,18/01/1980,0.52
119,19/01/1980,0.502
119,20/01/1980,0.502
119,21/01/1980,0.502
119,22/01/1980,0.502
119,23/01/1980,0.502
119,24/01/1980,0.502
119,25/01/1980,0.502
119,26/01/1980,0.502
119,27/01/1980,0.502
119,28/01/1980,0.502
119,29/01/1980,0.502
119,30/01/1980,0.502
119,31/01/1980,0.502
119,01/02/1980,0.502
119,02/02/1980,0.486
119,03/02/1980,0.332
119,04/02/1980,0.317
119,05/02/1980,0.332
119,06/02/1980,0.471
119,07/02/1980,0.332
119,08/02/1980,0.317
119,09/02/1980,0.317
119,10/02/1980,0.317
119,11/02/1980,0.317
119,12/02/1980,0.317
119,13/02/1980,0.317
119,14/02/1980,0.317
119,15/02/1980,0.317
119,16/02/1980,2.609
119,17/02/1980,22.47
119,18/02/1980,8.516
119,19/02/1980,4.968
119,20/02/1980,2.801
119,21/02/1980,1.578
119,22/02/1980,1.228
119,23/02/1980,0.981
119,24/02/1980,1.005
119,25/02/1980,7.052
119,26/02/1980,14.468
119,27/02/1980,6.31
119,28/02/1980,3.741
119,29/02/1980,2.464
119,01/03/1980,6.654
119,02/03/1980,10.159
119,03/03/1980,7.536
119,04/03/1980,5.039
119,05/03/1980,3.411
119,06/03/1980,3.615
119,07/03/1980,37.167
119,08/03/1980,25.308
119,09/03/1980,10.461
119,10/03/1980,6.629
119,11/03/1980,4.684
119,12/03/1980,3.858
119,13/03/1980,6.385
119,14/03/1980,4.072
119,15/03/1980,2.903
119,16/03/1980,2.526
119,17/03/1980,2.198
119,18/03/1980,2.14
119,19/03/1980,1.834
119,20/03/1980,1.544
119,21/03/1980,1.494
119,22/03/1980,1.275
119,23/03/1980,5.198
119,24/03/1980,10.983
119,25/03/1980,12.033
119,26/03/1980,10.213
119,27/03/1980,6.583
119,28/03/1980,5.433
119,29/03/1980,3.735
119,30/03/1980,2.269
119,31/03/1980,1.834
119,01/04/1980,1.544
119,02/04/1980,1.494
119,03/04/1980,1.251
119,04/04/1980,1.227
119,05/04/1980,1.628
119,06/04/1980,9.046
119,07/04/1980,5.045
119,08/04/1980,2.944
119,09/04/1980,2.201
119,10/04/1980,2.282
119,11/04/1980,13.861
119,12/04/1980,72.297
119,13/04/1980,41.587
119,14/04/1980,14.111
119,15/04/1980,7.61
119,16/04/1980,6.09
119,17/04/1980,5.546
119,18/04/1980,5.141
119,19/04/1980,6.746
119,20/04/1980,12.168
119,21/04/1980,18.325
119,22/04/1980,12.326
119,23/04/1980,7.3
119,24/04/1980,6.692
119,25/04/1980,22.473
119,26/04/1980,13.526
119,27/04/1980,5.478
119,28/04/1980,4.712
119,29/04/1980,6.901
119,30/04/1980,39.133
119,01/05/1980,71.322
119,02/05/1980,30.387
119,03/05/1980,11.009
119,04/05/1980,7.925
119,05/05/1980,6.566
119,06/05/1980,5.589
119,07/05/1980,5.062
119,08/05/1980,4.632
119,09/05/1980,4.593
119,10/05/1980,5.003
119,11/05/1980,6.538
119,12/05/1980,5.148
119,13/05/1980,4.983
119,14/05/1980,4.559
119,15/05/1980,3.75
119,16/05/1980,3.331
119,17/05/1980,3.264
119,18/05/1980,2.934
119,19/05/1980,2.901
119,20/05/1980,3.341
119,21/05/1980,33.169
119,22/05/1980,91.497
119,23/05/1980,29.392
119,24/05/1980,15.172
119,25/05/1980,9.985
119,26/05/1980,8.731
119,27/05/1980,7.644
119,28/05/1980,6.65
119,29/05/1980,7.105
119,30/05/1980,10.38
119,31/05/1980,25.912
119,01/06/1980,69.312
119,02/06/1980,30.387
119,03/06/1980,11.009
119,04/06/1980,7.841
119,05/06/1980,5.679
119,06/06/1980,5.062
119,07/06/1980,4.632
119,08/06/1980,4.593
119,09/06/1980,5.003
119,10/06/1980,6.538
119,11/06/1980,5.148
119,12/06/1980,4.983
119,13/06/1980,4.559
119,14/06/1980,3.75
119,15/06/1980,3.331
119,16/06/1980,3.264
119,17/06/1980,2.934
119,18/06/1980,2.901
119,19/06/1980,3.341
119,20/06/1980,33.169
119,21/06/1980,91.497
119,22/06/1980,29.392
119,23/06/1980,15.172
119,24/06/1980,9.985
119,25/06/1980,8.731
119,26/06/1980,7.644
119,27/06/1980,6.65
119,28/06/1980,6.745
119,29/06/1980,10.291
119,30/06/1980,23.983
119,01/07/1980,56.966
119,02/07/1980,22.604
119,03/07/1980,13.113
119,04/07/1980,10.98
119,05/07/1980,9.806
119,06/07/1980,26.995
119,07/07/1980,96.125
119,08/07/1980,108.289
119,09/07/1980,50.709
119,10/07/1980,35.62
119,11/07/1980,16.003
119,12/07/1980,11.278
119,13/07/1980,10.395
119,14/07/1980,8.826
119,15/07/1980,7.689
119,16/07/1980,7.094
119,17/07/1980,6.562
119,18/07/1980,6.046
119,19/07/1980,5.586
119,20/07/1980,5.504
119,21/07/1980,5.101
119,22/07/1980,5.022
119,23/07/1980,4.595
119,24/07/1980,4.382
119,25/07/1980,11.296
119,26/07/1980,45.992
119,27/07/1980,35.415
119,28/07/1980,26.185
119,29/07/1980,11.187
119,30/07/1980,7.462
119,31/07/1980,6.52
119,01/08/1980,5.589
119,02/08/1980,5.062
119,03/08/1980,6.18
119,04/08/1980,138.646
119,05/08/1980,150.687
119,06/08/1980,79.904
119,07/08/1980,37.015
119,08/08/1980,24.112
119,09/08/1980,17.651
119,10/08/1980,13.933
119,11/08/1980,11.676
119,12/08/1980,9.73
119,13/08/1980,8.539
119,14/08/1980,7.641
119,15/08/1980,7.094
119,16/08/1980,6.79
119,17/08/1980,12.669
119,18/08/1980,15.718
119,19/08/1980,7.753
119,20/08/1980,6.562
119,21/08/1980,6.046
119,22/08/1980,5.586
119,23/08/1980,5.504
119,24/08/1980,5.062
119,25/08/1980,4.632
119,26/08/1980,4.556
119,27/08/1980,4.181
119,28/08/1980,4.107
119,29/08/1980,4.264
119,30/08/1980,21.32
119,31/08/1980,21.979
119,01/09/1980,20.019
119,02/09/1980,7.919
119,03/09/1980,6.09
119,04/09/1980,5.546
119,05/09/1980,5.062
119,06/09/1980,4.595
119,07/09/1980,4.145
119,08/09/1980,3.713
119,09/09/1980,3.331
119,10/09/1980,3.264
119,11/09/1980,2.934
119,12/09/1980,2.901
119,13/09/1980,2.901
119,14/09/1980,4.05
119,15/09/1980,13.565
119,16/09/1980,10.474
119,17/09/1980,7.298
119,18/09/1980,5.277
119,19/09/1980,4.635
119,20/09/1980,4.145
119,21/09/1980,3.713
119,22/09/1980,3.331
119,23/09/1980,3.264
119,24/09/1980,2.934
119,25/09/1980,2.901
119,26/09/1980,2.87
119,27/09/1980,2.556
119,28/09/1980,2.525
119,29/09/1980,2.495
119,30/09/1980,2.198
119,01/10/1980,4.958
119,02/10/1980,110.781
119,03/10/1980,113.411
119,04/10/1980,34.061
119,05/10/1980,17.205
119,06/10/1980,10.828
119,07/10/1980,9.917
119,08/10/1980,8.778
119,09/10/1980,7.285
119,10/10/1980,6.476
119,11/10/1980,5.589
119,12/10/1980,5.062
119,13/10/1980,4.595
119,14/10/1980,4.145
119,15/10/1980,3.747
119,16/10/1980,3.747
119,17/10/1980,5.326
119,18/10/1980,11.558
119,19/10/1980,5.915
119,20/10/1980,4.595
119,21/10/1980,4.961
119,22/10/1980,18.598
119,23/10/1980,16.693
119,24/10/1980,7.503
119,25/10/1980,5.388
119,26/10/1980,4.595
119,27/10/1980,4.145
119,28/10/1980,3.713
119,29/10/1980,4.51
119,30/10/1980,19.864
119,31/10/1980,11.247
119,01/11/1980,4.813
119,02/11/1980,3.713
119,03/11/1980,3.298
119,04/11/1980,2.967
119,05/11/1980,3.372
119,06/11/1980,6.36
119,07/11/1980,6.071
119,08/11/1980,4.19
119,09/11/1980,3.555
119,10/11/1980,4.772
119,11/11/1980,3.372
119,12/11/1980,2.934
119,13/11/1980,2.901
119,14/11/1980,2.87
119,15/11/1980,2.556
119,16/11/1980,2.525
119,17/11/1980,2.525
119,18/11/1980,2.525
119,19/11/1980,2.495
119,20/11/1980,2.198
119,21/11/1980,2.168
119,22/11/1980,2.168
119,23/11/1980,2.168
119,24/11/1980,2.14
119,25/11/1980,1.86
119,26/11/1980,1.832
119,27/11/1980,1.832
119,28/11/1980,1.832
119,29/11/1980,2.033
119,30/11/1980,4.915
119,01/12/1980,15.082
119,02/12/1980,6.477
119,03/12/1980,3.829
119,04/12/1980,3.298
119,05/12/1980,2.934
119,06/12/1980,2.901
119,07/12/1980,2.87
119,08/12/1980,2.556
119,09/12/1980,2.525
119,10/12/1980,2.525
119,11/12/1980,2.495
119,12/12/1980,7.166
119,13/12/1980,5.403
119,14/12/1980,6.899
119,15/12/1980,3.785
119,16/12/1980,3.677
119,17/12/1980,3.331
119,18/12/1980,3.297
119,19/12/1980,3.297
119,20/12/1980,3.297
119,21/12/1980,3.297
119,22/12/1980,3.264
119,23/12/1980,2.934
119,24/12/1980,2.901
119,25/12/1980,2.901
119,26/12/1980,2.87
119,27/12/1980,2.556
119,28/12/1980,2.525
119,29/12/1980,2.495
119,30/12/1980,2.198
119,31/12/1980,2.168
119,01/01/1981,2.14
119,02/01/1981,1.86
119,03/01/1981,1.832
119,04/01/1981,1.701
119,05/01/1981,1.701
119,06/01/1981,2
119,07/01/1981,1.86
119,08/01/1981,1.806
119,09/01/1981,1.544
119,10/01/1981,1.518
119,11/01/1981,1.518
119,12/01/1981,1.518
119,13/01/1981,1.494
119,14/01/1981,1.251
119,15/01/1981,1.227
119,16/01/1981,1.227
119,17/01/1981,1.204
119,18/01/1981,0.981
119,19/01/1981,0.959
119,20/01/1981,0.959
119,21/01/1981,0.959
119,22/01/1981,0.959
119,23/01/1981,0.959
119,24/01/1981,0.959
119,25/01/1981,0.959
119,26/01/1981,0.959
119,27/01/1981,1.005
119,28/01/1981,8.658
119,29/01/1981,62.993
119,30/01/1981,17.234
119,31/01/1981,3.857
119,01/02/1981,2.259
119,02/02/1981,2.921
119,03/02/1981,6.008
119,04/02/1981,3.829
119,05/02/1981,3.331
119,06/02/1981,3.264
119,07/02/1981,2.934
119,08/02/1981,3.378
119,09/02/1981,4.296
119,10/02/1981,3.713
119,11/02/1981,3.331
119,12/02/1981,3.504
119,13/02/1981,3.366
119,14/02/1981,7.77
119,15/02/1981,33.039
119,16/02/1981,15.911
119,17/02/1981,12.201
119,18/02/1981,40.542
119,19/02/1981,15.035
119,20/02/1981,7.842
119,21/02/1981,6.095
119,22/02/1981,5.066
119,23/02/1981,4.184
119,24/02/1981,3.713
119,25/02/1981,3.298
119,26/02/1981,2.934
119,27/02/1981,2.901
119,28/02/1981,2.901
119,01/03/1981,2.934
119,02/03/1981,3.334
119,03/03/1981,4.609
119,04/03/1981,7.408
119,05/03/1981,5.557
119,06/03/1981,4.224
119,07/03/1981,3.713
119,08/03/1981,3.298
119,09/03/1981,2.934
119,10/03/1981,2.901
119,11/03/1981,2.901
119,12/03/1981,2.901
119,13/03/1981,3.27
119,14/03/1981,3.437
119,15/03/1981,3.036
119,16/03/1981,3.753
119,17/03/1981,3.334
119,18/03/1981,2.903
119,19/03/1981,2.556
119,20/03/1981,2.495
119,21/03/1981,2.198
119,22/03/1981,2.168
119,23/03/1981,2.168
119,24/03/1981,2.168
119,25/03/1981,2.168
119,26/03/1981,2.14
119,27/03/1981,1.86
119,28/03/1981,1.86
119,29/03/1981,2.32
119,30/03/1981,4.174
119,31/03/1981,4.196
119,01/04/1981,3.298
119,02/04/1981,2.934
119,03/04/1981,2.87
119,04/04/1981,2.556
119,05/04/1981,2.495
119,06/04/1981,2.198
119,07/04/1981,2.168
119,08/04/1981,2.168
119,09/04/1981,2.168
119,10/04/1981,2.168
119,11/04/1981,2.262
119,12/04/1981,3.481
119,13/04/1981,4.262
119,14/04/1981,3.372
119,15/04/1981,2.903
119,16/04/1981,2.556
119,17/04/1981,2.525
119,18/04/1981,2.495
119,19/04/1981,2.198
119,20/04/1981,2.168
119,21/04/1981,2.168
119,22/04/1981,2.168
119,23/04/1981,2.168
119,24/04/1981,2.168
119,25/04/1981,2.14
119,26/04/1981,1.86
119,27/04/1981,1.832
119,28/04/1981,1.832
119,29/04/1981,1.832
119,30/04/1981,1.832
119,01/05/1981,1.832
119,02/05/1981,1.832
119,03/05/1981,1.832
119,04/05/1981,1.832
119,05/05/1981,1.832
119,06/05/1981,1.832
119,07/05/1981,1.806
119,08/05/1981,2.244
119,09/05/1981,19.043
119,10/05/1981,80.984
119,11/05/1981,41.648
119,12/05/1981,136.318
119,13/05/1981,272.114
119,14/05/1981,89.3
119,15/05/1981,37.318
119,16/05/1981,23.611
119,17/05/1981,17.467
119,18/05/1981,16.564
119,19/05/1981,174.871
119,20/05/1981,194.504
119,21/05/1981,44.081
119,22/05/1981,21.113
119,23/05/1981,16.262
119,24/05/1981,16.574
119,25/05/1981,32.072
119,26/05/1981,24.151
119,27/05/1981,17.26
119,28/05/1981,11.411
119,29/05/1981,8.875
119,30/05/1981,7.285
119,31/05/1981,6.745
119,01/06/1981,9.462
119,02/06/1981,13.885
119,03/06/1981,9.203
119,04/06/1981,6.702
119,05/06/1981,6.046
119,06/06/1981,5.586
119,07/06/1981,5.504
119,08/06/1981,5.101
119,09/06/1981,5.022
119,10/06/1981,4.632
119,11/06/1981,4.556
119,12/06/1981,4.181
119,13/06/1981,4.144
119,14/06/1981,4.144
119,15/06/1981,4.144
119,16/06/1981,5.362
119,17/06/1981,14.462
119,18/06/1981,9.153
119,19/06/1981,5.687
119,20/06/1981,4.673
119,21/06/1981,4.556
119,22/06/1981,4.219
119,23/06/1981,5.894
119,24/06/1981,6.566
119,25/06/1981,5.55
119,26/06/1981,4.635
119,27/06/1981,4.181
119,28/06/1981,4.107
119,29/06/1981,3.747
119,30/06/1981,3.711
119,01/07/1981,3.677
119,02/07/1981,3.331
119,03/07/1981,3.297
119,04/07/1981,3.297
119,05/07/1981,3.297
119,06/07/1981,3.264
119,07/07/1981,2.934
119,08/07/1981,2.901
119,09/07/1981,2.901
119,10/07/1981,2.934
119,11/07/1981,3.546
119,12/07/1981,3.402
119,13/07/1981,3.677
119,14/07/1981,3.824
119,15/07/1981,12.453
119,16/07/1981,71.05
119,17/07/1981,83.583
119,18/07/1981,88.107
119,19/07/1981,30.292
119,20/07/1981,18.263
119,21/07/1981,16.092
119,22/07/1981,14.482
119,23/07/1981,10.226
119,24/07/1981,8.778
119,25/07/1981,7.734
119,26/07/1981,7.594
119,27/07/1981,7.469
119,28/07/1981,29.396
119,29/07/1981,85.02
119,30/07/1981,55.603
119,31/07/1981,34.722
119,01/08/1981,25.804
119,02/08/1981,16.825
119,03/08/1981,14.834
119,04/08/1981,14.034
119,05/08/1981,13.662
119,06/08/1981,33.493
119,07/08/1981,107.755
119,08/08/1981,99.062
119,09/08/1981,38.03
119,10/08/1981,17.644
119,11/08/1981,11.298
119,12/08/1981,8.921
119,13/08/1981,8.203
119,14/08/1981,7.641
119,15/08/1981,7.094
119,16/08/1981,6.605
119,17/08/1981,6.56
119,18/08/1981,6.517
119,19/08/1981,6.087
119,20/08/1981,6.003
119,21/08/1981,5.586
119,22/08/1981,5.544
119,23/08/1981,5.544
119,24/08/1981,5.504
119,25/08/1981,5.101
119,26/08/1981,5.061
119,27/08/1981,5.022
119,28/08/1981,4.632
119,29/08/1981,4.556
119,30/08/1981,4.181
119,31/08/1981,4.144
119,01/09/1981,4.107
119,02/09/1981,3.747
119,03/09/1981,3.711
119,04/09/1981,3.711
119,05/09/1981,3.677
119,06/09/1981,3.331
119,07/09/1981,3.297
119,08/09/1981,3.297
119,09/09/1981,3.575
119,10/09/1981,4.257
119,11/09/1981,4.145
119,12/09/1981,3.747
119,13/09/1981,4.278
119,14/09/1981,50.48
119,15/09/1981,170.142
119,16/09/1981,75.658
119,17/09/1981,37.096
119,18/09/1981,17.218
119,19/09/1981,13.682
119,20/09/1981,10.12
119,21/09/1981,8.825
119,22/09/1981,8.203
119,23/09/1981,7.641
119,24/09/1981,7.094
119,25/09/1981,6.605
119,26/09/1981,6.517
119,27/09/1981,6.315
119,28/09/1981,9.898
119,29/09/1981,13.982
119,30/09/1981,8.727
119,01/10/1981,6.607
119,02/10/1981,6.005
119,03/10/1981,5.104
119,04/10/1981,4.595
119,05/10/1981,4.257
119,06/10/1981,7.556
119,07/10/1981,14.076
119,08/10/1981,10.547
119,09/10/1981,5.868
119,10/10/1981,5.062
119,11/10/1981,4.595
119,12/10/1981,4.145
119,13/10/1981,3.747
119,14/10/1981,3.677
119,15/10/1981,3.331
119,16/10/1981,3.297
119,17/10/1981,3.264
119,18/10/1981,2.934
119,19/10/1981,2.901
119,20/10/1981,2.901
119,21/10/1981,2.901
119,22/10/1981,2.901
119,23/10/1981,2.901
119,24/10/1981,2.901
119,25/10/1981,2.87
119,26/10/1981,2.556
119,27/10/1981,2.65
119,28/10/1981,2.556
119,29/10/1981,2.525
119,30/10/1981,2.495
119,31/10/1981,2.228
119,01/11/1981,2.715
119,02/11/1981,2.87
119,03/11/1981,2.556
119,04/11/1981,2.525
119,05/11/1981,2.495
119,06/11/1981,2.259
119,07/11/1981,2.972
119,08/11/1981,2.903
119,09/11/1981,2.526
119,10/11/1981,2.198
119,11/11/1981,2.168
119,12/11/1981,2.168
119,13/11/1981,2.168
119,14/11/1981,2.168
119,15/11/1981,2.14
119,16/11/1981,1.86
119,17/11/1981,1.832
119,18/11/1981,1.832
119,19/11/1981,1.832
119,20/11/1981,1.832
119,21/11/1981,1.832
119,22/11/1981,1.806
119,23/11/1981,1.544
119,24/11/1981,1.518
