Estacion,Fecha,Q
14,01/01/1980,0.416
14,02/01/1980,0.416
14,03/01/1980,0.416
14,04/01/1980,0.416
14,05/01/1980,0.416
14,06/01/1980,0.416
14,07/01/1980,0.416
14,08/01/1980,0.416
14,09/01/1980,0.416
14,10/01/1980,0.416
14,11/01/1980,0.416
14,12/01/1980,0.416
14,13/01/1980,0.416
14,14/01/1980,0.416
14,15/01/1980,0.416
14,16/01/1980,0.416
14,17/01/1980,0.416
14,18/01/1980,0.416
14,19/01/1980,0.416
14,20/01/1980,0.416
14,21/01/1980,0.416
14,22/01/1980,0.416
14,23/01/1980,0.416
14,24/01/1980,0.416
14,25/01/1980,0.416
14,26/01/1980,0.416
14,27/01/1980,0.416
14,28/01/1980,0.416
14,29/01/1980,0.094
14,30/01/1980,0.032
14,31/01/1980,0.032
14,01/02/1980,0.032
14,02/02/1980,0
14,03/02/1980,0
14,04/02/1980,0
14,05/02/1980,0.244
14,06/02/1980,0.416
14,07/02/1980,0.885
14,08/02/1980,1.51
14,09/02/1980,1.88
14,10/02/1980,1.51
14,11/02/1980,1.178
14,12/02/1980,0.631
14,13/02/1980,0.631
14,14/02/1980,0.885
14,15/02/1980,0.885
14,16/02/1980,0.631
14,17/02/1980,0.631
14,18/02/1980,0.416
14,19/02/1980,0.416
14,20/02/1980,0.244
14,21/02/1980,0.244
14,22/02/1980,0.244
14,23/02/1980,0.416
14,24/02/1980,0.416
14,25/02/1980,0.631
14,26/02/1980,0.631
14,27/02/1980,0.885
14,28/02/1980,0.885
14,29/02/1980,0.885
14,01/03/1980,0.885
14,02/03/1980,0.885
14,03/03/1980,1.51
14,04/03/1980,1.51
14,05/03/1980,1.88
14,06/03/1980,1.51
14,07/03/1980,1.51
14,08/03/1980,1.178
14,09/03/1980,1.178
14,10/03/1980,0.885
14,11/03/1980,0.885
14,12/03/1980,0.631
14,13/03/1980,0.416
14,14/03/1980,0.416
14,15/03/1980,0.244
14,16/03/1980,0.115
14,17/03/1980,0.416
14,18/03/1980,0.631
14,19/03/1980,0.885
14,20/03/1980,0.885
14,21/03/1980,1.178
14,22/03/1980,1.51
14,23/03/1980,1.178
14,24/03/1980,1.51
14,25/03/1980,1.178
14,26/03/1980,1.178
14,27/03/1980,0.885
14,28/03/1980,0.885
14,29/03/1980,1.178
14,30/03/1980,1.178
14,31/03/1980,1.178
14,01/04/1980,1.178
14,02/04/1980,0.885
14,03/04/1980,0.885
14,04/04/1980,0.631
14,05/04/1980,0.631
14,06/04/1980,0.631
14,07/04/1980,0.885
14,08/04/1980,1.51
14,09/04/1980,2.286
14,10/04/1980,4.272
14,11/04/1980,5.475
14,12/04/1980,8.289
14,13/04/1980,9.895
14,14/04/1980,11.632
14,15/04/1980,9.895
14,16/04/1980,9.895
14,17/04/1980,8.289
14,18/04/1980,8.289
14,19/04/1980,8.289
14,20/04/1980,7.535
14,21/04/1980,6.815
14,22/04/1980,6.815
14,23/04/1980,6.815
14,24/04/1980,8.289
14,25/04/1980,11.632
14,26/04/1980,22.22
14,27/04/1980,22.22
14,28/04/1980,17.609
14,29/04/1980,15.49
14,30/04/1980,14.478
14,01/05/1980,14.478
14,02/05/1980,13.497
14,03/05/1980,11.632
14,04/05/1980,11.632
14,05/05/1980,10.747
14,06/05/1980,9.895
14,07/05/1980,9.895
14,08/05/1980,8.289
14,09/05/1980,8.289
14,10/05/1980,7.535
14,11/05/1980,7.535
14,12/05/1980,9.895
14,13/05/1980,11.632
14,14/05/1980,10.747
14,15/05/1980,9.076
14,16/05/1980,7.535
14,17/05/1980,6.815
14,18/05/1980,5.475
14,19/05/1980,4.272
14,20/05/1980,3.208
14,21/05/1980,3.208
14,22/05/1980,6.815
14,23/05/1980,11.632
14,24/05/1980,15.49
14,25/05/1980,22.22
14,26/05/1980,30.054
14,27/05/1980,38.967
14,28/05/1980,45.498
14,29/05/1980,48.938
14,30/05/1980,48.938
14,31/05/1980,52.493
14,01/06/1980,56.164
14,02/06/1980,63.846
14,03/06/1980,56.164
14,04/06/1980,52.493
14,05/06/1980,45.498
14,06/06/1980,42.174
14,07/06/1980,37.408
14,08/06/1980,32.907
14,09/06/1980,32.907
14,10/06/1980,52.493
14,11/06/1980,71.982
14,12/06/1980,85.024
14,13/06/1980,94.274
14,14/06/1980,169.432
14,15/06/1980,129.33
14,16/06/1980,94.274
14,17/06/1980,85.024
14,18/06/1980,71.982
14,19/06/1980,89.594
14,20/06/1980,169.432
14,21/06/1980,248.235
14,22/06/1980,280.352
14,23/06/1980,219.197
14,24/06/1980,99.064
14,25/06/1980,94.274
14,26/06/1980,169.432
14,27/06/1980,248.235
14,28/06/1980,99.064
14,29/06/1980,85.024
14,30/06/1980,71.982
14,01/07/1980,76.218
14,02/07/1980,85.024
14,03/07/1980,76.218
14,04/07/1980,56.164
14,05/07/1980,52.493
14,06/07/1980,45.498
14,07/07/1980,56.164
14,08/07/1980,169.432
14,09/07/1980,832.95
14,10/07/1980,1337.288
14,11/07/1980,918.694
14,12/07/1980,552.655
14,13/07/1980,354.831
14,14/07/1980,315.796
14,15/07/1980,248.235
14,16/07/1980,169.432
14,17/07/1980,99.064
14,18/07/1980,85.024
14,19/07/1980,59.948
14,20/07/1980,52.493
14,21/07/1980,48.938
14,22/07/1980,42.174
14,23/07/1980,35.878
14,24/07/1980,30.054
14,25/07/1980,24.71
14,26/07/1980,45.498
14,27/07/1980,71.982
14,28/07/1980,85.024
14,29/07/1980,71.982
14,30/07/1980,56.164
14,31/07/1980,45.498
14,01/08/1980,30.054
14,02/08/1980,24.71
14,03/08/1980,22.22
14,04/08/1980,22.22
14,05/08/1980,169.432
14,06/08/1980,918.694
14,07/08/1980,1744.395
14,08/08/1980,1111.936
14,09/08/1980,753.877
14,10/08/1980,354.831
14,11/08/1980,148.273
14,12/08/1980,99.064
14,13/08/1980,85.024
14,14/08/1980,67.858
14,15/08/1980,59.948
14,16/08/1980,52.493
14,17/08/1980,56.164
14,18/08/1980,67.858
14,19/08/1980,63.846
14,20/08/1980,56.164
14,21/08/1980,48.938
14,22/08/1980,45.498
14,23/08/1980,38.967
14,24/08/1980,35.878
14,25/08/1980,32.907
14,26/08/1980,27.322
14,27/08/1980,24.71
14,28/08/1980,22.22
14,29/08/1980,22.22
14,30/08/1980,19.853
14,31/08/1980,19.853
14,01/09/1980,59.948
14,02/09/1980,71.982
14,03/09/1980,59.948
14,04/09/1980,48.938
14,05/09/1980,45.498
14,06/09/1980,38.967
14,07/09/1980,30.054
14,08/09/1980,27.322
14,09/09/1980,22.22
14,10/09/1980,22.22
14,11/09/1980,19.853
14,12/09/1980,19.853
14,13/09/1980,17.609
14,14/09/1980,17.609
14,15/09/1980,16.534
14,16/09/1980,19.853
14,17/09/1980,35.878
14,18/09/1980,45.498
14,19/09/1980,48.938
14,20/09/1980,45.498
14,21/09/1980,43.822
14,22/09/1980,42.174
14,23/09/1980,38.967
14,24/09/1980,37.408
14,25/09/1980,37.408
14,26/09/1980,30.054
14,27/09/1980,27.322
14,28/09/1980,27.322
14,29/09/1980,26.001
14,30/09/1980,26.001
14,15/10/1980,19.331
14,16/10/1980,18.14
14,17/10/1980,16.304
14,18/10/1980,17.965
14,19/10/1980,20.345
14,20/10/1980,23.402
14,21/10/1980,26.962
14,22/10/1980,25.39
14,23/10/1980,21.786
14,24/10/1980,18.383
14,25/10/1980,16.104
14,26/10/1980,14.075
14,27/10/1980,11.38
14,28/10/1980,8.753
14,29/10/1980,8.42
14,30/10/1980,20.502
14,31/10/1980,51.934
14,01/11/1980,65.971
14,02/11/1980,61.794
14,03/11/1980,49.657
14,04/11/1980,36.522
14,05/11/1980,25.278
14,06/11/1980,16.035
14,07/11/1980,11.501
14,08/11/1980,12.337
14,09/11/1980,10.547
14,10/11/1980,9.52
14,11/11/1980,8.667
14,12/11/1980,7.241
14,13/11/1980,5.862
14,14/11/1980,4.654
14,15/11/1980,4.272
14,16/11/1980,4.272
14,17/11/1980,4.272
14,18/11/1980,4.272
14,19/11/1980,4.272
14,20/11/1980,4.272
14,21/11/1980,4.272
14,22/11/1980,4.272
14,23/11/1980,4.272
14,24/11/1980,4.272
14,25/11/1980,4.272
14,26/11/1980,4.272
14,27/11/1980,4.272
14,28/11/1980,4.272
14,29/11/1980,4.272
14,30/11/1980,5.266
14,01/12/1980,22.376
14,02/12/1980,42.77
14,03/12/1980,55.284
14,04/12/1980,53.56
14,05/12/1980,47.702
14,06/12/1980,28.843
14,07/12/1980,14.784
14,08/12/1980,12.172
14,09/12/1980,10.398
14,10/12/1980,8.753
14,11/12/1980,7.241
14,12/12/1980,6.245
14,13/12/1980,7.521
14,14/12/1980,11.639
14,15/12/1980,17.107
14,16/12/1980,16.042
14,17/12/1980,11.954
14,18/12/1980,8.067
14,19/12/1980,6.535
14,20/12/1980,5.505
14,21/12/1980,4.885
14,22/12/1980,4.334
14,23/12/1980,4.272
14,24/12/1980,4.349
14,25/12/1980,5.692
14,26/12/1980,6.699
14,27/12/1980,5.862
14,28/12/1980,4.654
14,29/12/1980,4.272
14,30/12/1980,4.272
14,31/12/1980,4.272
14,08/02/1981,23.591
14,09/02/1981,31.4
14,10/02/1981,39.801
14,11/02/1981,35.014
14,16/02/1981,27.924
14,17/02/1981,62.236
14,18/02/1981,97.169
14,19/02/1981,42.973
14,20/02/1981,15.155
14,10/05/1981,53.193
14,11/05/1981,94.684
14,12/05/1981,147.466
14,13/05/1981,261.067
14,14/05/1981,501.646
14,15/05/1981,432.539
14,16/05/1981,224.6
14,17/05/1981,104.35
14,18/05/1981,66.221
14,19/05/1981,62.152
14,20/05/1981,230.164
14,21/05/1981,552.501
14,22/05/1981,385.083
14,23/05/1981,176.532
14,24/05/1981,90.096
14,25/05/1981,74.788
14,26/05/1981,90.647
14,27/05/1981,87.556
14,28/05/1981,72.294
14,29/05/1981,57.259
14,30/05/1981,42.885
14,31/05/1981,35.39
14,01/06/1981,31.675
14,02/06/1981,32.378
14,03/06/1981,36.174
14,04/06/1981,33.59
14,05/06/1981,28.918
14,06/06/1981,23.478
14,07/06/1981,18.915
14,08/06/1981,15.39
14,09/06/1981,11.86
14,10/06/1981,19.84
14,11/06/1981,15.532
14,12/06/1981,9.533
14,15/07/1981,38.427
14,16/07/1981,60.785
14,17/07/1981,76.808
14,18/07/1981,124.911
14,19/07/1981,225.6
14,20/07/1981,346.133
14,21/07/1981,315.408
14,22/07/1981,157.69
14,23/07/1981,81.48
14,24/07/1981,54.553
14,25/07/1981,46.105
14,26/07/1981,38.938
14,27/07/1981,33.101
14,28/07/1981,29.857
14,29/07/1981,32.981
14,30/07/1981,125.24
14,31/07/1981,175.42
14,01/08/1981,396.738
14,02/08/1981,185.648
14,03/08/1981,81.425
14,04/08/1981,55.554
14,05/08/1981,44.286
14,06/08/1981,78.723
14,07/08/1981,497.293
14,08/08/1981,838.79
14,09/08/1981,601.725
14,10/08/1981,311.757
14,11/08/1981,118.544
14,12/08/1981,80.949
14,13/08/1981,65.365
14,14/08/1981,54.671
14,15/08/1981,47.38
14,16/08/1981,41.085
14,17/08/1981,38.878
14,18/08/1981,31.754
14,19/08/1981,25.12
14,01/09/1981,21.566
14,02/09/1981,19.691
14,03/09/1981,18.517
14,04/09/1981,17.534
14,05/09/1981,18.671
14,06/09/1981,19.501
14,07/09/1981,17.194
14,08/09/1981,16.132
14,09/09/1981,14.654
14,10/09/1981,16.977
14,11/09/1981,19.241
14,12/09/1981,22.025
14,13/09/1981,36.913
14,14/09/1981,100.449
14,15/09/1981,466.09
14,16/09/1981,676.308
14,17/09/1981,451.832
14,18/09/1981,169.143
14,19/09/1981,84.193
14,20/09/1981,68.188
14,21/09/1981,46.095
14,22/09/1981,35.037
14,23/09/1981,30.963
14,24/09/1981,28.156
14,25/09/1981,24.973
14,26/09/1981,22.789
14,27/09/1981,19.797
14,28/09/1981,19.672
14,29/09/1981,22.726
14,30/09/1981,24.2
14,01/10/1981,22.823
14,02/10/1981,20.163
14,03/10/1981,17.215
14,04/10/1981,13.327
14,05/10/1981,11.75
14,06/10/1981,14.773
14,07/10/1981,20.571
14,08/10/1981,25.002
14,09/10/1981,23.764
14,10/10/1981,19.002
14,11/10/1981,16.2
14,12/10/1981,16.498
14,13/10/1981,13.615
14,14/10/1981,12.377
14,15/10/1981,11.139
14,16/10/1981,10.306
14,17/10/1981,9.367
14,18/10/1981,8.53
14,19/10/1981,7.711
14,20/10/1981,7.055
14,21/10/1981,6.612
14,22/10/1981,6.337
14,23/10/1981,6.067
14,24/10/1981,5.803
14,25/10/1981,5.545
14,26/10/1981,5.3
14,08/12/1981,9.895
14,09/12/1981,9.732
14,10/12/1981,9.545
14,11/12/1981,9.108
14,12/12/1981,8.843
14,13/12/1981,8.603
14,14/12/1981,8.383
14,15/12/1981,8.143
14,16/12/1981,7.911
14,17/12/1981,7.751
14,18/12/1981,7.579
14,19/12/1981,8.257
14,20/12/1981,10.625
14,21/12/1981,8.763
14,22/12/1981,11.746
14,23/12/1981,11.266
14,24/12/1981,10.846
14,25/12/1981,10.399
14,26/12/1981,9.987
14,27/12/1981,9.366
14,28/12/1981,7.822
14,29/12/1981,6.2
14,30/12/1981,5.17
14,31/12/1981,7.333
14,13/01/1982,11.632
14,14/01/1982,11.407
14,15/01/1982,11.612
14,16/01/1982,11.896
14,17/01/1982,12.187
14,18/01/1982,12.528
14,19/01/1982,12.822
14,20/01/1982,13.11
14,21/01/1982,13.301
14,22/01/1982,13.353
14,23/01/1982,11.822
14,24/01/1982,11.975
14,25/01/1982,12.263
14,26/01/1982,12.545
14,27/01/1982,12.809
14,28/01/1982,13.028
14,29/01/1982,13.301
14,30/01/1982,13.68
14,31/01/1982,13.784
14,01/02/1982,13.21
14,02/02/1982,12.727
14,03/02/1982,13.191
14,04/02/1982,12.384
14,05/02/1982,11.558
14,06/02/1982,11.968
14,07/02/1982,12.538
14,08/02/1982,13.168
14,09/02/1982,13.507
14,10/02/1982,13.547
14,11/02/1982,12.716
14,12/02/1982,12
14,13/02/1982,12.68
14,14/02/1982,10.636
14,15/02/1982,12.737
14,16/02/1982,12.821
14,17/02/1982,12.655
14,18/02/1982,12.852
14,19/02/1982,13.39
14,20/02/1982,14.068
14,21/02/1982,13.388
14,22/02/1982,12.748
14,23/02/1982,12.638
14,24/02/1982,11.702
14,25/02/1982,11.893
14,26/02/1982,12.534
14,27/02/1982,13.29
