Estacion,Fecha,Q
26662,02/01/1980,2569
26662,03/01/1980,4166
26662,04/01/1980,3373
26662,05/01/1980,2492
26662,06/01/1980,2134
26662,07/01/1980,1799
26662,08/01/1980,1486
26662,09/01/1980,1338
26662,10/01/1980,1197
26662,11/01/1980,1128
26662,12/01/1980,1174
26662,13/01/1980,1220
26662,14/01/1980,1302
26662,15/01/1980,1220
26662,16/01/1980,1197
26662,17/01/1980,1106
26662,18/01/1980,954
26662,19/01/1980,871
26662,20/01/1980,830
26662,21/01/1980,695
26662,22/01/1980,733
26662,23/01/1980,771
26662,24/01/1980,871
26662,25/01/1980,933
26662,26/01/1980,891
26662,27/01/1980,850
26662,28/01/1980,1338
26662,29/01/1980,1411
26662,30/01/1980,1174
26662,31/01/1980,996
26662,01/02/1980,975
26662,02/02/1980,933
26662,03/02/1980,933
26662,04/02/1980,1061
26662,05/02/1980,985
26662,06/02/1980,954
26662,07/02/1980,871
26662,08/02/1980,714
26662,09/02/1980,649
26662,10/02/1980,569
26662,11/02/1980,485
26662,12/02/1980,502
26662,13/02/1980,469
26662,14/02/1980,493
26662,15/02/1980,485
26662,16/02/1980,430
26662,17/02/1980,453
26662,18/02/1980,453
26662,19/02/1980,437
26662,20/02/1980,414
26662,21/02/1980,493
26662,22/02/1980,502
26662,23/02/1980,502
26662,24/02/1980,485
26662,25/02/1980,535
26662,26/02/1980,640
26662,27/02/1980,535
26662,28/02/1980,477
26662,29/02/1980,469
26662,01/03/1980,469
26662,02/03/1980,485
26662,03/03/1980,649
26662,04/03/1980,830
26662,05/03/1980,1040
26662,06/03/1980,1362
26662,07/03/1980,1666
26662,08/03/1980,1562
26662,09/03/1980,1745
26662,10/03/1980,2222
26662,11/03/1980,1853
26662,12/03/1980,1679
26662,13/03/1980,
26662,14/03/1980,2401
26662,15/03/1980,3068
26662,16/03/1980,3035
26662,17/03/1980,2585
26662,18/03/1980,2371
26662,19/03/1980,2193
26662,20/03/1980,1197
26662,21/03/1980,1486
26662,22/03/1980,1208
26662,23/03/1980,1061
26662,24/03/1980,901
26662,25/03/1980,820
26662,26/03/1980,714
26662,27/03/1980,631
26662,28/03/1980,586
26662,29/03/1980,518
26662,30/03/1980,518
26662,31/03/1980,578
26662,01/04/1980,676
26662,02/04/1980,613
26662,03/04/1980,569
26662,04/04/1980,502
26662,05/04/1980,502
26662,06/04/1980,493
26662,07/04/1980,485
26662,08/04/1980,485
26662,09/04/1980,469
26662,10/04/1980,407
26662,11/04/1980,369
26662,12/04/1980,569
26662,13/04/1980,348
26662,14/04/1980,445
26662,15/04/1980,461
26662,16/04/1980,384
26662,17/04/1980,362
26662,18/04/1980,407
26662,19/04/1980,613
26662,20/04/1980,595
26662,21/04/1980,
26662,22/04/1980,933
26662,23/04/1980,830
26662,24/04/1980,723
26662,25/04/1980,586
26662,26/04/1980,535
26662,27/04/1980,502
26662,28/04/1980,469
26662,29/04/1980,477
26662,30/04/1980,369
26662,01/05/1980,348
26662,02/05/1980,362
26662,03/05/1980,362
26662,04/05/1980,348
26662,05/05/1980,348
26662,06/05/1980,348
26662,07/05/1980,320
26662,08/05/1980,320
26662,09/05/1980,293
26662,10/05/1980,171
26662,11/05/1980,4166
26662,12/05/1980,10127
26662,13/05/1980,7781
26662,14/05/1980,6026
26662,15/05/1980,4166
26662,16/05/1980,3152
26662,17/05/1980,2538
26662,18/05/1980,1881
26662,19/05/1980,1562
26662,20/05/1980,
26662,21/05/1980,1411
26662,22/05/1980,1267
26662,23/05/1980,
26662,24/05/1980,
26662,25/05/1980,2034
26662,26/05/1980,
26662,27/05/1980,
26662,28/05/1980,1549
26662,29/05/1980,
26662,30/05/1980,
26662,31/05/1980,
26662,01/06/1980,933
26662,02/06/1980,
26662,03/06/1980,1018
26662,04/06/1980,933
26662,05/06/1980,
26662,06/06/1980,
26662,07/06/1980,
26662,08/06/1980,
26662,09/06/1980,
26662,10/06/1980,
26662,11/06/1980,
26662,12/06/1980,
26662,13/06/1980,
26662,14/06/1980,
26662,15/06/1980,
26662,16/06/1980,
26662,17/06/1980,
26662,18/06/1980,
26662,19/06/1980,604
26662,20/06/1980,
26662,21/06/1980,
26662,22/06/1980,
26662,23/06/1980,
26662,24/06/1980,
26662,25/06/1980,502
26662,26/06/1980,
26662,27/06/1980,
26662,28/06/1980,
26662,29/06/1980,
26662,30/06/1980,
26662,01/07/1980,
26662,02/07/1980,
26662,03/07/1980,
26662,04/07/1980,
26662,05/07/1980,
26662,06/07/1980,771
26662,07/07/1980,
26662,08/07/1980,
26662,09/07/1980,
26662,10/07/1980,
26662,11/07/1980,
26662,12/07/1980,
26662,13/07/1980,975
26662,14/07/1980,954
26662,15/07/1980,1826
26662,16/07/1980,685
26662,17/07/1980,
26662,18/07/1980,1562
26662,19/07/1980,1362
26662,20/07/1980,1162
26662,21/07/1980,1040
26662,22/07/1980,891
26662,23/07/1980,
26662,24/07/1980,704
26662,25/07/1980,676
26662,26/07/1980,649
26662,27/07/1980,640
26662,28/07/1980,604
26662,29/07/1980,586
26662,30/07/1980,485
26662,31/07/1980,578
26662,01/08/1980,714
26662,02/08/1980,2647
26662,03/08/1980,
26662,04/08/1980,7426
26662,05/08/1980,
26662,06/08/1980,
26662,07/08/1980,2711
26662,08/08/1980,2371
26662,09/08/1980,
26662,10/08/1980,1853
26662,11/08/1980,1908
26662,12/08/1980,1964
26662,13/08/1980,1626
26662,14/08/1980,1536
26662,15/08/1980,1411
26662,16/08/1980,
26662,17/08/1980,1174
26662,18/08/1980,1106
26662,19/08/1980,1050
26662,20/08/1980,933
26662,21/08/1980,1084
26662,22/08/1980,
26662,23/08/1980,1461
26662,24/08/1980,4704
26662,25/08/1980,10420
26662,26/08/1980,11513
26662,27/08/1980,
26662,28/08/1980,6622
26662,29/08/1980,
26662,30/08/1980,
26662,31/08/1980,
26662,01/09/1980,3339
26662,02/09/1980,2774
26662,03/09/1980,3373
26662,04/09/1980,3907
26662,05/09/1980,4783
26662,06/09/1980,7567
26662,07/09/1980,7192
26662,08/09/1980,
26662,09/09/1980,
26662,10/09/1980,3152
26662,11/09/1980,2679
26662,12/09/1980,2431
26662,13/09/1980,2355
26662,14/09/1980,2523
26662,15/09/1980,2251
26662,16/09/1980,1964
26662,17/09/1980,1639
26662,18/09/1980,1498
26662,19/09/1980,1473
26662,20/09/1980,1486
26662,21/09/1980,1626
26662,22/09/1980,1679
26662,23/09/1980,1626
26662,24/09/1980,1486
26662,25/09/1980,1461
26662,26/09/1980,3135
26662,27/09/1980,2855
26662,28/09/1980,2251
26662,29/09/1980,1881
26662,30/09/1980,
26662,01/10/1980,1652
26662,02/10/1980,1461
26662,03/10/1980,1511
26662,04/10/1980,1461
26662,05/10/1980,1362
26662,06/10/1980,1255
26662,07/10/1980,1106
26662,08/10/1980,1018
26662,09/10/1980,996
26662,10/10/1980,922
26662,11/10/1980,901
26662,12/10/1980,901
26662,13/10/1980,891
26662,14/10/1980,1106
26662,15/10/1980,1162
26662,16/10/1980,1061
26662,17/10/1980,1018
26662,18/10/1980,1117
26662,19/10/1980,
26662,20/10/1980,1040
26662,21/10/1980,954
26662,22/10/1980,891
26662,23/10/1980,1084
26662,24/10/1980,2355
26662,25/10/1980,2431
26662,26/10/1980,3202
26662,27/10/1980,4241
26662,28/10/1980,3373
26662,29/10/1980,4036
26662,30/10/1980,4783
26662,31/10/1980,5185
26662,01/11/1980,7216
26662,02/11/1980,8143
26662,03/11/1980,8070
26662,04/11/1980,6510
26662,05/11/1980,4763
26662,06/11/1980,3583
26662,07/11/1980,2855
26662,08/11/1980,1705
26662,09/11/1980,2871
26662,10/11/1980,3102
26662,11/11/1980,3726
26662,12/11/1980,4665
26662,13/11/1980,5599
26662,14/11/1980,5144
26662,15/11/1980,3870
26662,16/11/1980,2985
26662,17/11/1980,2371
26662,18/11/1980,1826
26662,19/11/1980,1362
26662,20/11/1980,1338
26662,21/11/1980,1314
26662,22/11/1980,1436
26662,23/11/1980,1679
26662,24/11/1980,1562
26662,25/11/1980,2178
26662,26/11/1980,3118
26662,27/11/1980,2806
26662,28/11/1980,2371
26662,29/11/1980,1908
26662,30/11/1980,1626
26662,01/12/1980,1461
26662,02/12/1980,1575
26662,03/12/1980,1666
26662,04/12/1980,1562
26662,05/12/1980,1745
26662,06/12/1980,3834
26662,07/12/1980,3169
26662,08/12/1980,3798
26662,09/12/1980,3002
26662,10/12/1980,2431
26662,11/12/1980,2106
26662,12/12/1980,1936
26662,13/12/1980,1732
26662,14/12/1980,1745
26662,15/12/1980,1666
26662,16/12/1980,
26662,17/12/1980,2281
26662,18/12/1980,1894
26662,19/12/1980,1588
26662,20/12/1980,1375
26662,21/12/1980,1267
26662,22/12/1980,1197
26662,23/12/1980,1486
26662,24/12/1980,1908
26662,25/12/1980,6555
26662,26/12/1980,6780
26662,27/12/1980,4548
26662,28/12/1980,4684
26662,29/12/1980,4587
26662,30/12/1980,3322
26662,31/12/1980,2711
26662,01/01/1981,2371
26662,02/01/1981,2431
26662,03/01/1981,2839
26662,04/01/1981,2371
26662,05/01/1981,2006
26662,06/01/1981,1705
26662,07/01/1981,1613
26662,08/01/1981,1511
26662,09/01/1981,1562
26662,10/01/1981,1639
26662,11/01/1981,1826
26662,12/01/1981,1853
26662,13/01/1981,1679
26662,14/01/1981,1562
26662,15/01/1981,1498
26662,16/01/1981,1387
26662,17/01/1981,1314
26662,18/01/1981,1436
26662,19/01/1981,1350
26662,20/01/1981,1151
26662,21/01/1981,1061
26662,22/01/1981,1084
26662,23/01/1981,1128
26662,24/01/1981,1705
26662,25/01/1981,1908
26662,26/01/1981,1894
26662,27/01/1981,1639
26662,28/01/1981,1411
26662,29/01/1981,1362
26662,30/01/1981,1197
26662,31/01/1981,1106
26662,01/02/1981,975
26662,02/02/1981,850
26662,03/02/1981,781
26662,04/02/1981,771
26662,05/02/1981,781
26662,06/02/1981,1279
26662,07/02/1981,1338
26662,08/02/1981,2477
26662,09/02/1981,2647
26662,10/02/1981,2742
26662,11/02/1981,2193
26662,12/02/1981,1922
26662,13/02/1981,1758
26662,14/02/1981,1679
26662,15/02/1981,1785
26662,16/02/1981,2048
26662,17/02/1981,2371
26662,18/02/1981,2569
26662,19/02/1981,2616
26662,20/02/1981,2969
26662,21/02/1981,2106
26662,22/02/1981,1639
26662,23/02/1981,1486
26662,24/02/1981,1436
26662,25/02/1981,1536
26662,26/02/1981,1338
26662,27/02/1981,1174
26662,28/02/1981,1018
26662,01/03/1981,933
26662,02/03/1981,871
26662,03/03/1981,733
26662,04/03/1981,830
26662,05/03/1981,791
26662,06/03/1981,676
26662,07/03/1981,649
26662,08/03/1981,714
26662,09/03/1981,1140
26662,10/03/1981,1106
26662,11/03/1981,1411
26662,12/03/1981,1338
26662,13/03/1981,1061
26662,14/03/1981,891
26662,15/03/1981,733
26662,16/03/1981,569
26662,17/03/1981,676
26662,18/03/1981,586
26662,19/03/1981,502
26662,20/03/1981,422
26662,21/03/1981,469
26662,22/03/1981,407
26662,23/03/1981,377
26662,24/03/1981,348
26662,25/03/1981,334
26662,26/03/1981,327
26662,27/03/1981,320
26662,28/03/1981,306
26662,29/03/1981,266
26662,30/03/1981,293
26662,31/03/1981,254
26662,01/04/1981,254
26662,02/04/1981,247
26662,03/04/1981,247
26662,04/04/1981,247
26662,05/04/1981,247
26662,06/04/1981,235
26662,07/04/1981,235
26662,08/04/1981,247
26662,09/04/1981,247
26662,10/04/1981,254
26662,11/04/1981,279
26662,12/04/1981,273
26662,13/04/1981,260
26662,14/04/1981,235
26662,15/04/1981,235
26662,16/04/1981,254
26662,17/04/1981,247
26662,18/04/1981,229
26662,19/04/1981,229
26662,20/04/1981,217
26662,21/04/1981,205
26662,22/04/1981,205
26662,23/04/1981,205
26662,24/04/1981,453
26662,25/04/1981,377
26662,26/04/1981,334
26662,27/04/1981,453
26662,28/04/1981,604
26662,29/04/1981,871
26662,30/04/1981,4279
26662,01/05/1981,3889
26662,02/05/1981,2742
26662,03/05/1981,2048
26662,04/05/1981,1626
26662,05/05/1981,1436
26662,06/05/1981,
26662,07/05/1981,996
26662,08/05/1981,820
26662,09/05/1981,714
26662,10/05/1981,704
26662,11/05/1981,640
26662,12/05/1981,569
26662,13/05/1981,518
26662,14/05/1981,477
26662,15/05/1981,453
26662,16/05/1981,422
26662,17/05/1981,392
26662,18/05/1981,369
26662,19/05/1981,348
26662,20/05/1981,327
26662,21/05/1981,320
26662,22/05/1981,320
26662,23/05/1981,306
26662,24/05/1981,293
26662,25/05/1981,320
26662,26/05/1981,293
26662,27/05/1981,293
26662,28/05/1981,313
26662,29/05/1981,293
26662,30/05/1981,306
26662,31/05/1981,293
26662,01/06/1981,320
26662,02/06/1981,320
26662,03/06/1981,320
26662,04/06/1981,327
26662,05/06/1981,279
26662,06/06/1981,362
26662,07/06/1981,362
26662,08/06/1981,369
26662,09/06/1981,407
26662,10/06/1981,445
26662,11/06/1981,676
26662,12/06/1981,1350
26662,13/06/1981,1536
26662,14/06/1981,1853
26662,15/06/1981,1692
26662,16/06/1981,1679
26662,17/06/1981,1486
26662,18/06/1981,1290
26662,19/06/1981,1084
26662,20/06/1981,912
26662,21/06/1981,586
26662,22/06/1981,676
26662,23/06/1981,631
26662,24/06/1981,622
26662,25/06/1981,604
26662,26/06/1981,695
26662,27/06/1981,975
26662,28/06/1981,1106
26662,29/06/1981,1106
26662,30/06/1981,1072
26662,01/07/1981,
26662,02/07/1981,891
26662,03/07/1981,791
26662,04/07/1981,714
26662,05/07/1981,640
26662,06/07/1981,586
26662,07/07/1981,560
26662,08/07/1981,535
26662,09/07/1981,535
26662,10/07/1981,518
26662,11/07/1981,502
26662,12/07/1981,493
26662,13/07/1981,477
26662,14/07/1981,477
26662,15/07/1981,437
26662,16/07/1981,422
26662,17/07/1981,392
26662,18/07/1981,392
26662,19/07/1981,377
26662,20/07/1981,377
26662,21/07/1981,377
26662,22/07/1981,377
26662,23/07/1981,377
26662,24/07/1981,392
26662,25/07/1981,377
26662,26/07/1981,355
26662,27/07/1981,377
26662,28/07/1981,377
26662,29/07/1981,569
26662,30/07/1981,461
26662,31/07/1981,422
26662,01/08/1981,461
26662,02/08/1981,771
26662,03/08/1981,640
26662,04/08/1981,543
26662,05/08/1981,518
26662,06/08/1981,477
26662,07/08/1981,461
26662,08/08/1981,422
26662,09/08/1981,384
26662,10/08/1981,377
26662,11/08/1981,348
26662,12/08/1981,422
26662,13/08/1981,469
26662,14/08/1981,485
26662,15/08/1981,469
26662,16/08/1981,461
26662,17/08/1981,461
26662,18/08/1981,461
26662,19/08/1981,453
26662,20/08/1981,422
26662,21/08/1981,392
26662,22/08/1981,384
26662,23/08/1981,362
26662,24/08/1981,348
26662,25/08/1981,327
26662,26/08/1981,313
26662,27/08/1981,293
26662,28/08/1981,223
26662,29/08/1981,286
26662,30/08/1981,279
26662,31/08/1981,293
26662,01/09/1981,306
26662,02/09/1981,313
26662,03/09/1981,306
26662,04/09/1981,1162
26662,05/09/1981,1151
26662,06/09/1981,912
26662,07/09/1981,933
26662,08/09/1981,850
26662,09/09/1981,830
26662,10/09/1981,820
26662,11/09/1981,771
26662,12/09/1981,676
26662,13/09/1981,622
26662,14/09/1981,535
26662,15/09/1981,1106
26662,16/09/1981,1040
26662,17/09/1981,871
26662,18/09/1981,742
26662,19/09/1981,578
26662,20/09/1981,518
26662,21/09/1981,502
26662,22/09/1981,485
26662,23/09/1981,469
26662,24/09/1981,485
26662,25/09/1981,1128
26662,26/09/1981,1338
26662,27/09/1981,2163
26662,28/09/1981,2523
26662,29/09/1981,3816
26662,30/09/1981,4336
26662,01/10/1981,3478
26662,02/10/1981,2647
26662,03/10/1981,2774
26662,04/10/1981,1908
26662,05/10/1981,1758
26662,06/10/1981,1436
26662,07/10/1981,1267
26662,08/10/1981,1562
26662,09/10/1981,1922
26662,10/10/1981,2020
26662,11/10/1981,1992
26662,12/10/1981,1922
26662,13/10/1981,1894
26662,14/10/1981,1626
26662,15/10/1981,1314
26662,16/10/1981,1128
26662,17/10/1981,996
26662,18/10/1981,922
26662,19/10/1981,871
26662,20/10/1981,850
26662,21/10/1981,810
26662,22/10/1981,714
26662,23/10/1981,676
26662,24/10/1981,676
26662,25/10/1981,676
26662,26/10/1981,771
26662,27/10/1981,733
26662,28/10/1981,714
26662,29/10/1981,676
26662,30/10/1981,1117
26662,31/10/1981,1197
26662,01/11/1981,1040
26662,02/11/1981,912
26662,03/11/1981,871
26662,04/11/1981,771
26662,05/11/1981,771
26662,06/11/1981,771
26662,07/11/1981,922
26662,08/11/1981,2134
26662,09/11/1981,3834
26662,10/11/1981,3548
26662,11/11/1981,3018
26662,12/11/1981,3018
26662,13/11/1981,3619
26662,14/11/1981,3219
26662,15/11/1981,2492
26662,16/11/1981,1867
26662,17/11/1981,1575
26662,18/11/1981,1387
26662,19/11/1981,1220
26662,20/11/1981,1084
26662,21/11/1981,943
26662,22/11/1981,891
26662,23/11/1981,850
26662,24/11/1981,791
26662,25/11/1981,695
26662,26/11/1981,622
26662,27/11/1981,543
26662,28/11/1981,518
26662,29/11/1981,502
26662,30/11/1981,485
26662,01/12/1981,461
26662,02/12/1981,622
26662,03/12/1981,771
26662,04/12/1981,2371
26662,05/12/1981,3339
26662,06/12/1981,2431
26662,07/12/1981,1908
26662,08/12/1981,1639
26662,09/12/1981,1799
26662,10/12/1981,2523
26662,11/12/1981,2034
26662,12/12/1981,1679
26662,13/12/1981,1486
26662,14/12/1981,1040
26662,15/12/1981,2251
26662,16/12/1981,922
26662,17/12/1981,996
26662,18/12/1981,933
26662,19/12/1981,810
26662,20/12/1981,714
26662,21/12/1981,685
26662,22/12/1981,761
26662,23/12/1981,1639
26662,24/12/1981,5103
26662,25/12/1981,6266
26662,26/12/1981,5287
26662,27/12/1981,4223
26662,28/12/1981,3236
26662,29/12/1981,
26662,30/12/1981,
26662,31/12/1981,1666
26662,01/01/1982,1692
26662,02/01/1982,1436
26662,03/01/1982,1243
26662,04/01/1982,1061
26662,05/01/1982,975
26662,06/01/1982,810
26662,07/01/1982,761
26662,08/01/1982,676
26662,09/01/1982,640
26662,10/01/1982,
26662,11/01/1982,640
26662,12/01/1982,685
26662,13/01/1982,771
26662,14/01/1982,771
26662,15/01/1982,714
26662,16/01/1982,695
26662,17/01/1982,676
26662,18/01/1982,569
26662,19/01/1982,502
26662,20/01/1982,453
26662,21/01/1982,217
26662,22/01/1982,377
26662,23/01/1982,348
26662,24/01/1982,334
26662,25/01/1982,320
26662,26/01/1982,306
26662,27/01/1982,293
26662,28/01/1982,273
26662,29/01/1982,260
26662,30/01/1982,260
26662,31/01/1982,299
26662,01/02/1982,299
26662,02/02/1982,
26662,03/02/1982,
26662,04/02/1982,254
26662,05/02/1982,266
26662,06/02/1982,241
26662,07/02/1982,241
26662,08/02/1982,384
26662,09/02/1982,362
26662,10/02/1982,334
26662,11/02/1982,348
26662,12/02/1982,461
26662,13/02/1982,649
26662,14/02/1982,704
26662,15/02/1982,622
26662,16/02/1982,604
26662,17/02/1982,685
26662,18/02/1982,676
26662,19/02/1982,649
26662,20/02/1982,781
26662,21/02/1982,881
26662,22/02/1982,1007
26662,23/02/1982,1050
26662,24/02/1982,1399
26662,25/02/1982,1411
26662,26/02/1982,1197
26662,27/02/1982,1007
26662,28/02/1982,975
26662,01/03/1982,1208
26662,02/03/1982,1338
26662,03/03/1982,1243
26662,04/03/1982,1084
26662,05/03/1982,943
26662,06/03/1982,901
26662,07/03/1982,891
26662,08/03/1982,752
26662,09/03/1982,771
26662,10/03/1982,667
26662,11/03/1982,695
26662,12/03/1982,535
26662,13/03/1982,453
26662,14/03/1982,437
26662,15/03/1982,502
26662,16/03/1982,407
26662,17/03/1982,392
26662,18/03/1982,384
26662,19/03/1982,422
26662,20/03/1982,
26662,21/03/1982,377
26662,22/03/1982,362
26662,23/03/1982,526
26662,24/03/1982,430
26662,25/03/1982,377
26662,26/03/1982,437
26662,27/03/1982,437
26662,28/03/1982,430
26662,29/03/1982,
26662,30/03/1982,399
26662,31/03/1982,362
26662,01/04/1982,348
26662,02/04/1982,341
26662,03/04/1982,306
26662,04/04/1982,306
26662,05/04/1982,477
26662,06/04/1982,586
26662,07/04/1982,975
26662,08/04/1982,453
26662,09/04/1982,422
26662,10/04/1982,384
26662,11/04/1982,348
26662,12/04/1982,306
26662,13/04/1982,279
26662,14/04/1982,254
26662,15/04/1982,241
26662,16/04/1982,229
26662,17/04/1982,229
26662,18/04/1982,217
26662,19/04/1982,217
26662,20/04/1982,217
26662,21/04/1982,217
26662,22/04/1982,247
26662,23/04/1982,241
26662,24/04/1982,241
26662,25/04/1982,229
26662,26/04/1982,241
26662,27/04/1982,217
26662,28/04/1982,229
26662,29/04/1982,247
26662,30/04/1982,247
26662,01/05/1982,229
26662,02/05/1982,217
26662,03/05/1982,217
26662,04/05/1982,199
26662,05/05/1982,194
26662,06/05/1982,188
26662,07/05/1982,171
26662,08/05/1982,161
26662,09/05/1982,145
26662,10/05/1982,171
26662,11/05/1982,161
26662,12/05/1982,205
26662,13/05/1982,205
26662,14/05/1982,205
26662,15/05/1982,205
26662,16/05/1982,306
26662,17/05/1982,469
26662,18/05/1982,469
26662,19/05/1982,543
26662,20/05/1982,695
26662,21/05/1982,761
26662,22/05/1982,830
26662,23/05/1982,742
26662,24/05/1982,695
26662,25/05/1982,502
26662,26/05/1982,493
26662,27/05/1982,422
26662,28/05/1982,362
26662,29/05/1982,348
26662,30/05/1982,306
26662,31/05/1982,293
