Estacion,Fecha,Q
133,01/01/1980,1.738
133,02/01/1980,1.738
133,03/01/1980,1.738
133,04/01/1980,1.738
133,05/01/1980,1.738
133,06/01/1980,1.738
133,07/01/1980,1.738
133,08/01/1980,1.738
133,09/01/1980,1.738
133,10/01/1980,1.684
133,11/01/1980,1.011
133,12/01/1980,0.941
133,13/01/1980,0.941
133,14/01/1980,0.941
133,15/01/1980,0.941
133,16/01/1980,0.941
133,17/01/1980,0.941
133,18/01/1980,0.941
133,19/01/1980,0.941
133,20/01/1980,0.941
133,21/01/1980,0.941
133,22/01/1980,0.941
133,23/01/1980,0.941
133,24/01/1980,0.941
133,25/01/1980,0.941
133,26/01/1980,0.941
133,27/01/1980,0.941
133,28/01/1980,0.941
133,29/01/1980,0.941
133,30/01/1980,0.941
133,31/01/1980,0.941
133,01/02/1980,0.941
133,02/02/1980,0.941
133,03/02/1980,0.941
133,04/02/1980,0.941
133,05/02/1980,0.941
133,06/02/1980,0.941
133,07/02/1980,0.941
133,08/02/1980,0.941
133,09/02/1980,0.941
133,10/02/1980,0.941
133,11/02/1980,0.899
133,12/02/1980,0.384
133,13/02/1980,0.329
133,14/02/1980,0.329
133,15/02/1980,0.49
133,16/02/1980,2.551
133,17/02/1980,5.081
133,18/02/1980,16.214
133,19/02/1980,15.105
133,20/02/1980,12.984
133,21/02/1980,12.522
133,22/02/1980,9.282
133,23/02/1980,9.202
133,24/02/1980,38.772
133,25/02/1980,127.739
133,26/02/1980,197.02
133,27/02/1980,146.719
133,28/02/1980,117.902
133,29/02/1980,100.272
133,01/03/1980,52.377
133,02/03/1980,170.78
133,03/03/1980,216.813
133,04/03/1980,173.425
133,05/03/1980,72.456
133,06/03/1980,49.516
133,07/03/1980,121.787
133,08/03/1980,151.094
133,09/03/1980,123.592
133,10/03/1980,89.015
133,11/03/1980,70.155
133,12/03/1980,44.856
133,13/03/1980,14.314
133,14/03/1980,12.784
133,15/03/1980,9.163
133,16/03/1980,11.541
133,17/03/1980,9.406
133,18/03/1980,10.264
133,19/03/1980,6.347
133,20/03/1980,5.917
133,21/03/1980,5.917
133,22/03/1980,5.917
133,23/03/1980,9.833
133,24/03/1980,78.097
133,25/03/1980,256.212
133,26/03/1980,306.905
133,27/03/1980,241.195
133,28/03/1980,180.318
133,29/03/1980,107.35
133,30/03/1980,51.867
133,31/03/1980,31.039
133,01/04/1980,23.838
133,02/04/1980,22.849
133,03/04/1980,18.033
133,04/04/1980,16.941
133,05/04/1980,9.704
133,06/04/1980,8.941
133,07/04/1980,8.941
133,08/04/1980,8.941
133,09/04/1980,8.941
133,10/04/1980,8.941
133,11/04/1980,12.226
133,12/04/1980,62.614
133,13/04/1980,104.984
133,14/04/1980,213.191
133,15/04/1980,235.305
133,16/04/1980,191.355
133,17/04/1980,131.568
133,18/04/1980,72.331
133,19/04/1980,40.142
133,20/04/1980,57.544
133,21/04/1980,87.127
133,22/04/1980,90.529
133,23/04/1980,97.009
133,24/04/1980,103.771
133,25/04/1980,119.258
133,26/04/1980,507.846
133,27/04/1980,1274.176
133,28/04/1980,949.679
133,29/04/1980,472.709
133,30/04/1980,206.187
133,01/05/1980,228.295
133,02/05/1980,454.815
133,03/05/1980,342.729
133,04/05/1980,274.503
133,05/05/1980,246.464
133,06/05/1980,128.353
133,07/05/1980,72.045
133,08/05/1980,61.56
133,09/05/1980,57.073
133,10/05/1980,47.834
133,11/05/1980,46.918
133,12/05/1980,46.918
133,13/05/1980,46.918
133,14/05/1980,51.338
133,15/05/1980,160.546
133,16/05/1980,267.885
133,17/05/1980,231.919
133,18/05/1980,206.39
133,19/05/1980,152.138
133,20/05/1980,136.827
133,21/05/1980,197.847
133,22/05/1980,946.459
133,23/05/1980,1853.447
133,24/05/1980,971.346
133,25/05/1980,333.53
133,26/05/1980,236.993
133,27/05/1980,111.868
133,28/05/1980,91.655
133,29/05/1980,116.951
133,30/05/1980,179.838
133,31/05/1980,240.966
133,01/06/1980,249.925
133,02/06/1980,131.732
133,03/06/1980,132.858
133,04/06/1980,112.927
133,05/06/1980,96.594
133,06/06/1980,71.824
133,07/06/1980,64.914
133,08/06/1980,141.563
133,09/06/1980,208.57
133,10/06/1980,247.264
133,11/06/1980,319.338
133,12/06/1980,541.086
133,13/06/1980,559.451
133,14/06/1980,517.67
133,15/06/1980,577.216
133,16/06/1980,388.505
133,17/06/1980,222.863
133,18/06/1980,146.463
133,19/06/1980,113.358
133,20/06/1980,170.368
133,21/06/1980,245.256
133,22/06/1980,121.518
133,23/06/1980,101.589
133,24/06/1980,156.811
133,25/06/1980,185.769
133,26/06/1980,249.688
133,27/06/1980,300.067
133,28/06/1980,221.565
133,29/06/1980,138.859
133,30/06/1980,120.185
133,01/07/1980,212.517
133,02/07/1980,271.469
133,03/07/1980,237.985
133,04/07/1980,170.321
133,05/07/1980,114.375
133,06/07/1980,97.499
133,07/07/1980,137.424
133,08/07/1980,587.183
133,09/07/1980,1210.956
133,10/07/1980,809.168
133,11/07/1980,354.621
133,12/07/1980,177.74
133,13/07/1980,121.787
133,14/07/1980,107.215
133,15/07/1980,88.124
133,16/07/1980,74.387
133,17/07/1980,69.611
133,18/07/1980,65.069
133,19/07/1980,59.823
133,20/07/1980,56.517
133,21/07/1980,47.834
133,22/07/1980,46.302
133,23/07/1980,38.135
133,24/07/1980,30.694
133,25/07/1980,39.629
133,26/07/1980,113.453
133,27/07/1980,221.08
133,28/07/1980,272.13
133,29/07/1980,240.866
133,30/07/1980,147.449
133,31/07/1980,86.987
133,01/08/1980,81.785
133,02/08/1980,64.09
133,03/08/1980,48.389
133,04/08/1980,56.977
133,05/08/1980,262.65
133,06/08/1980,1004.864
133,07/08/1980,1048.671
133,08/08/1980,569.962
133,09/08/1980,260.033
133,10/08/1980,156.648
133,11/08/1980,120.55
133,12/08/1980,101.316
133,13/08/1980,80.693
133,14/08/1980,69.979
133,15/08/1980,62.908
133,16/08/1980,52.809
133,17/08/1980,109.729
133,18/08/1980,119.99
133,19/08/1980,127.075
133,20/08/1980,131.187
133,21/08/1980,131.374
133,22/08/1980,90.737
133,23/08/1980,82.664
133,24/08/1980,77.756
133,25/08/1980,61.979
133,26/08/1980,56.199
133,27/08/1980,40.94
133,28/08/1980,27.917
133,29/08/1980,29.394
133,30/08/1980,29.535
133,31/08/1980,27.914
133,01/09/1980,83.07
133,02/09/1980,130.357
133,03/09/1980,114.139
133,04/09/1980,102.2
133,05/09/1980,93.111
133,06/09/1980,42.139
133,07/09/1980,24.538
133,08/09/1980,23.238
133,09/09/1980,22.849
133,10/09/1980,18.033
133,11/09/1980,17.525
133,12/09/1980,17.525
133,13/09/1980,18.374
133,14/09/1980,52.375
133,15/09/1980,216.978
133,16/09/1980,233.893
133,17/09/1980,200.324
133,18/09/1980,161.946
133,19/09/1980,95.914
133,20/09/1980,30.235
133,21/09/1980,23.45
133,22/09/1980,18.033
133,23/09/1980,17.525
133,24/09/1980,17.202
133,25/09/1980,13.205
133,26/09/1980,12.646
133,27/09/1980,10.812
133,28/09/1980,9.102
133,29/09/1980,8.941
133,30/09/1980,12.652
133,01/10/1980,75.742
133,02/10/1980,195.006
133,03/10/1980,676.676
133,04/10/1980,984.167
133,05/10/1980,709.601
133,06/10/1980,276.214
133,07/10/1980,168.733
133,08/10/1980,131.269
133,09/10/1980,100.159
133,10/10/1980,54.759
133,11/10/1980,46.302
133,12/10/1980,38.67
133,13/10/1980,37.866
133,14/10/1980,37.33
133,15/10/1980,30.694
133,16/10/1980,30.531
133,17/10/1980,42.982
133,18/10/1980,78.792
133,19/10/1980,83.123
133,20/10/1980,84.077
133,21/10/1980,95.899
133,22/10/1980,93.111
133,23/10/1980,43.135
133,24/10/1980,37.33
133,25/10/1980,30.235
133,26/10/1980,23.838
133,27/10/1980,23.238
133,28/10/1980,22.849
133,29/10/1980,17.71
133,30/10/1980,13.205
133,31/10/1980,12.784
133,01/11/1980,12.784
133,02/11/1980,12.784
133,03/11/1980,12.784
133,04/11/1980,13.107
133,05/11/1980,28.235
133,06/11/1980,92.028
133,07/11/1980,152.196
133,08/11/1980,119.57
133,09/11/1980,57.522
133,10/11/1980,31.039
133,11/11/1980,24.834
133,12/11/1980,37.182
133,13/11/1980,48.338
133,14/11/1980,32.415
133,15/11/1980,29.535
133,16/11/1980,23.45
133,17/11/1980,15.689
133,18/11/1980,6.527
133,19/11/1980,12.366
133,20/11/1980,12.944
133,21/11/1980,9.282
133,22/11/1980,8.941
133,23/11/1980,8.941
133,24/11/1980,8.941
133,25/11/1980,8.941
133,26/11/1980,8.941
133,27/11/1980,8.941
133,28/11/1980,13.53
133,29/11/1980,88.39
133,30/11/1980,250.474
133,01/12/1980,608.138
133,02/12/1980,387.104
133,03/12/1980,192.998
133,04/12/1980,104.592
133,05/12/1980,73.458
133,06/12/1980,39.711
133,07/12/1980,24.538
133,08/12/1980,22.526
133,09/12/1980,13.713
133,10/12/1980,12.522
133,11/12/1980,8.93
133,12/12/1980,4.089
133,13/12/1980,1.918
133,14/12/1980,1.684
133,15/12/1980,3.524
133,16/12/1980,40.99
133,17/12/1980,63.336
133,18/12/1980,84.599
133,19/12/1980,84.864
133,20/12/1980,11.917
133,21/12/1980,20.615
133,22/12/1980,13.246
133,23/12/1980,6.527
133,24/12/1980,5.917
133,25/12/1980,5.917
133,26/12/1980,5.917
133,27/12/1980,5.917
133,28/12/1980,5.833
133,29/12/1980,4.734
133,30/12/1980,3.849
133,31/12/1980,3.767
133,01/01/1981,3.767
