date,discharge,month,year,average_percentage,percentile,percentile_range
1980-01-01,8.643,1,1980,-0.072,0.575,Normal range
1980-02-01,14.607,2,1980,-0.583,0.718,Normal range
1980-03-01,31.106,3,1980,-0.147,0.756,Above normal
1980-04-01,67.853,4,1980,1.140,0.805,Above normal
1980-05-01,53.704,5,1980,0.232,0.775,Above normal
1980-06-01,87.837,6,1980,0.385,0.757,Above normal
1980-07-01,81.014,7,1980,0.338,0.750,Above normal
1980-08-01,70.017,8,1980,0.035,0.730,Above normal
1980-09-01,22.142,9,1980,-0.468,0.389,Normal range
1980-10-01,51.669,10,1980,0.176,0.694,Normal range
1980-11-01,22.434,11,1980,-0.186,0.658,Normal range
1980-12-01,15.898,12,1980,0.065,0.684,Normal range
1981-01-01,13.563,1,1981,0.456,0.750,Above normal
1981-02-01,23.096,2,1981,-0.340,0.769,Above normal
1981-03-01,21.974,3,1981,-0.398,0.707,Normal range
1981-04-01,15.779,4,1981,-0.502,0.634,Normal range
1981-05-01,210.471,5,1981,3.830,0.975,High flow
1981-06-01,36.202,6,1981,-0.429,0.432,Normal range
1981-07-01,57.958,7,1981,-0.043,0.556,Normal range
1981-08-01,118.454,8,1981,0.751,0.919,High flow
1981-09-01,64.163,9,1981,0.540,0.806,Above normal
1981-10-01,19.606,10,1981,-0.554,0.500,Normal range
1981-11-01,15.863,11,1981,-0.425,0.500,Normal range
1981-12-01,20.017,12,1981,0.342,0.789,Above normal
1982-01-01,9.915,1,1982,0.064,0.625,Normal range
1982-02-01,16.730,2,1982,-0.522,0.744,Above normal
1982-03-01,19.635,3,1982,-0.462,0.683,Normal range
1982-04-01,13.647,4,1982,-0.570,0.561,Normal range
1982-05-01,81.566,5,1982,0.872,0.875,High flow
1982-06-01,124.300,6,1982,0.960,0.865,Above normal
1982-07-01,103.394,7,1982,0.708,0.889,High flow
1982-08-01,85.127,8,1982,0.258,0.838,Above normal
1982-09-01,60.961,9,1982,0.463,0.778,Above normal
1982-10-01,34.550,10,1982,-0.213,0.556,Normal range
1982-11-01,17.024,11,1982,-0.383,0.553,Normal range
1982-12-01,10.342,12,1982,-0.307,0.632,Normal range
1983-01-01,10.621,1,1983,0.140,0.675,Normal range
1983-02-01,12.196,2,1983,-0.652,0.641,Normal range
1983-03-01,9.255,3,1983,-0.746,0.463,Normal range
1983-04-01,15.191,4,1983,-0.521,0.610,Normal range
1983-05-01,14.661,5,1983,-0.664,0.450,Normal range
1983-06-01,66.488,6,1983,0.048,0.649,Normal range
1983-07-01,,7,1983,,,
1983-08-01,,8,1983,,,
1983-09-01,,9,1983,,,
1983-10-01,,10,1983,,,
1983-11-01,86.101,11,1983,2.122,0.974,High flow
1983-12-01,19.245,12,1983,0.290,0.763,Above normal
1984-01-01,32.397,1,1984,2.477,0.925,High flow
1984-02-01,198.941,2,1984,4.682,0.974,High flow
1984-03-01,32.253,3,1984,-0.116,0.780,Above normal
1984-04-01,12.388,4,1984,-0.609,0.488,Normal range
