date,discharge,startMonth,endMonth,year,average_percentage,percentile,percentile_range
1980-01-01,,11,1,1980,,,
1980-02-01,,12,2,1980,,,
1980-03-01,18.119,1,3,1980,-0.129,0.641,Normal range
1980-04-01,37.856,2,4,1980,0.403,0.692,Normal range
1980-05-01,50.888,3,5,1980,0.281,0.821,Above normal
1980-06-01,69.798,4,6,1980,0.416,0.757,Above normal
1980-07-01,74.185,5,7,1980,0.295,0.806,Above normal
1980-08-01,79.623,6,8,1980,0.262,0.750,Above normal
1980-09-01,57.724,7,9,1980,0.240,0.676,Normal range
1980-10-01,47.943,8,10,1980,0.085,0.529,Normal range
1980-11-01,32.082,9,11,1980,-0.129,0.471,Normal range
1980-12-01,30.000,10,12,1980,0.075,0.618,Normal range
1981-01-01,17.298,11,1,1981,-0.008,0.639,Normal range
1981-02-01,17.519,12,2,1981,-0.067,0.639,Normal range
1981-03-01,19.544,1,3,1981,-0.060,0.667,Normal range
1981-04-01,20.283,2,4,1981,-0.248,0.564,Normal range
1981-05-01,82.741,3,5,1981,1.083,0.923,High flow
1981-06-01,87.484,4,6,1981,0.774,0.919,High flow
1981-07-01,101.544,5,7,1981,0.772,0.889,High flow
1981-08-01,70.871,6,8,1981,0.123,0.694,Normal range
1981-09-01,80.191,7,9,1981,0.722,0.765,Above normal
1981-10-01,67.408,8,10,1981,0.525,0.735,Above normal
1981-11-01,33.211,9,11,1981,-0.099,0.529,Normal range
1981-12-01,18.495,10,12,1981,-0.337,0.500,Normal range
1982-01-01,15.265,11,1,1982,-0.125,0.611,Normal range
1982-02-01,15.554,12,2,1982,-0.172,0.583,Normal range
1982-03-01,15.427,1,3,1982,-0.258,0.615,Normal range
1982-04-01,16.671,2,4,1982,-0.382,0.538,Normal range
1982-05-01,38.283,3,5,1982,-0.036,0.769,Above normal
1982-06-01,73.171,4,6,1982,0.484,0.865,Above normal
1982-07-01,103.087,5,7,1982,0.799,0.917,High flow
1982-08-01,104.273,6,8,1982,0.652,0.917,High flow
1982-09-01,83.161,7,9,1982,0.786,0.794,Above normal
1982-10-01,60.213,8,10,1982,0.362,0.676,Normal range
1982-11-01,37.512,9,11,1982,0.018,0.559,Normal range
1982-12-01,20.638,10,12,1982,-0.260,0.559,Normal range
1983-01-01,12.662,11,1,1983,-0.274,0.583,Normal range
1983-02-01,11.053,12,2,1983,-0.411,0.556,Normal range
1983-03-01,10.690,1,3,1983,-0.486,0.513,Normal range
1983-04-01,12.214,2,4,1983,-0.547,0.462,Normal range
1983-05-01,13.035,3,5,1983,-0.672,0.410,Normal range
1983-06-01,32.113,4,6,1983,-0.349,0.459,Normal range
1983-07-01,,5,7,1983,,,
1983-08-01,,6,8,1983,,,
1983-09-01,,7,9,1983,,,
1983-10-01,,8,10,1983,,,
1983-11-01,,9,11,1983,,,
1983-12-01,,10,12,1983,,,
1984-01-01,45.914,11,1,1984,1.632,0.861,Above normal
1984-02-01,83.528,12,2,1984,3.448,0.944,High flow
1984-03-01,87.864,1,3,1984,3.226,0.949,High flow
