date,discharge,month,year,average_percentage,percentile,percentile_range
1980-01-31,,1,1980,,,
1980-02-29,,2,1980,,,
1980-03-31,,3,1980,,,
1980-04-30,,4,1980,,,
1980-05-31,,5,1980,,,
1980-06-30,,6,1980,,,
1980-07-31,,7,1980,,,
1980-08-31,,8,1980,,,
1980-09-30,,9,1980,,,
1980-10-31,,10,1980,,,
1980-11-30,,11,1980,,,
1980-12-31,,12,1980,,,
1981-01-31,,1,1981,,,
1981-02-28,,2,1981,,,
1981-03-31,,3,1981,,,
1981-04-30,,4,1981,,,
1981-05-31,,5,1981,,,
1981-06-30,,6,1981,,,
1981-07-31,,7,1981,,,
1981-08-31,,8,1981,,,
1981-09-30,,9,1981,,,
1981-10-31,,10,1981,,,
1981-11-30,,11,1981,,,
1981-12-31,,12,1981,,,
1982-01-31,,1,1982,,,
1982-02-28,,2,1982,,,
1982-03-31,,3,1982,,,
1982-04-30,,4,1982,,,
1982-05-31,,5,1982,,,
1982-06-30,,6,1982,,,
1982-07-31,,7,1982,,,
1982-08-31,,8,1982,,,
1982-09-30,,9,1982,,,
1982-10-31,,10,1982,,,
1982-11-30,,11,1982,,,
1982-12-31,,12,1982,,,
1983-01-31,,1,1983,,,
1983-02-28,,2,1983,,,
1983-03-31,0.650,3,1983,-0.778,0.486,Normal range
1983-04-30,0.513,4,1983,-0.876,0.229,Below normal
1983-05-31,0.603,5,1983,-0.891,0.152,Below normal
1983-06-30,9.212,6,1983,0.294,0.686,Normal range
1983-07-31,1.596,7,1983,-0.815,0.118,Low flow
1983-08-31,15.886,8,1983,0.979,0.943,High flow
1983-09-30,17.341,9,1983,1.110,0.943,High flow
1983-10-31,28.182,10,1983,3.883,0.973,High flow
1983-11-30,17.450,11,1983,4.419,0.971,High flow
1983-12-31,1.434,12,1983,-0.422,0.622,Normal range
1984-01-31,2.118,1,1984,-0.071,0.722,Above normal
1984-02-29,8.742,2,1984,2.250,0.889,High flow
