date,discharge,startMonth,endMonth,year,average_percentage,percentile,percentile_range
1980-01-31,,11,1,1980,,,
1980-02-29,,12,2,1980,,,
1980-03-31,,1,3,1980,,,
1980-04-30,,2,4,1980,,,
1980-05-31,,3,5,1980,,,
1980-06-30,,4,6,1980,,,
1980-07-31,,5,7,1980,,,
1980-08-31,,6,8,1980,,,
1980-09-30,,7,9,1980,,,
1980-10-31,,8,10,1980,,,
1980-11-30,,9,11,1980,,,
1980-12-31,,10,12,1980,,,
1981-01-31,,11,1,1981,,,
1981-02-28,,12,2,1981,,,
1981-03-31,,1,3,1981,,,
1981-04-30,,2,4,1981,,,
1981-05-31,,3,5,1981,,,
1981-06-30,,4,6,1981,,,
1981-07-31,,5,7,1981,,,
1981-08-31,,6,8,1981,,,
1981-09-30,,7,9,1981,,,
1981-10-31,,8,10,1981,,,
1981-11-30,,9,11,1981,,,
1981-12-31,,10,12,1981,,,
1982-01-31,,11,1,1982,,,
1982-02-28,,12,2,1982,,,
1982-03-31,,1,3,1982,,,
1982-04-30,,2,4,1982,,,
1982-05-31,,3,5,1982,,,
1982-06-30,,4,6,1982,,,
1982-07-31,,5,7,1982,,,
1982-08-31,,6,8,1982,,,
1982-09-30,,7,9,1982,,,
1982-10-31,,8,10,1982,,,
1982-11-30,,9,11,1982,,,
1982-12-31,,10,12,1982,,,
1983-01-31,,11,1,1983,,,
1983-02-28,,12,2,1983,,,
1983-03-31,,1,3,1983,,,
1983-04-30,,2,4,1983,,,
1983-05-31,0.589,3,5,1983,-0.867,0.161,Below normal
1983-06-30,3.443,4,6,1983,-0.394,0.387,Normal range
1983-07-31,3.804,5,7,1983,-0.487,0.233,Below normal
1983-08-31,8.898,6,8,1983,0.099,0.656,Normal range
1983-09-30,11.608,7,9,1983,0.334,0.774,Above normal
1983-10-31,20.469,8,10,1983,1.668,0.970,High flow
1983-11-30,20.991,9,11,1983,2.562,0.970,High flow
1983-12-31,15.689,10,12,1983,2.986,0.970,High flow
1984-01-31,7.001,11,1,1984,1.891,0.938,High flow
1984-02-29,4.098,12,2,1984,0.612,0.800,Above normal
1984-03-31,4.539,1,3,1984,0.771,0.735,Above normal
1984-04-30,5.260,2,4,1984,0.603,0.781,Above normal
1984-05-31,4.993,3,5,1984,0.125,0.677,Normal range
1984-06-30,9.815,4,6,1984,0.728,0.839,Above normal
1984-07-31,15.749,5,7,1984,1.124,0.900,High flow
1984-08-31,14.170,6,8,1984,0.750,0.938,High flow
1984-09-30,11.261,7,9,1984,0.294,0.742,Above normal
1984-10-31,7.592,8,10,1984,-0.011,0.576,Normal range
1984-11-30,8.575,9,11,1984,0.455,0.727,Above normal
1984-12-31,6.071,10,12,1984,0.543,0.788,Above normal
1985-01-31,2.589,11,1,1985,0.069,0.594,Normal range
1985-02-28,0.739,12,2,1985,-0.709,0.343,Normal range
1985-03-31,0.931,1,3,1985,-0.637,0.412,Normal range
1985-04-30,2.220,2,4,1985,-0.323,0.562,Normal range
1985-05-31,3.066,3,5,1985,-0.309,0.548,Normal range
1985-06-30,5.095,4,6,1985,-0.103,0.613,Normal range
1985-07-31,6.093,5,7,1985,-0.178,0.533,Normal range
1985-08-31,8.129,6,8,1985,0.004,0.531,Normal range
1985-09-30,8.112,7,9,1985,-0.068,0.581,Normal range
1985-10-31,9.142,8,10,1985,0.191,0.697,Normal range
1985-11-30,6.817,9,11,1985,0.157,0.606,Normal range
1985-12-31,4.572,10,12,1985,0.162,0.667,Normal range
1986-01-31,1.262,11,1,1986,-0.479,0.469,Normal range
1986-02-28,0.697,12,2,1986,-0.726,0.286,Normal range
1986-03-31,0.582,1,3,1986,-0.773,0.265,Below normal
1986-04-30,0.589,2,4,1986,-0.821,0.250,Below normal
1986-05-31,1.418,3,5,1986,-0.680,0.323,Normal range
1986-06-30,4.100,4,6,1986,-0.278,0.484,Normal range
1986-07-31,5.930,5,7,1986,-0.200,0.500,Normal range
1986-08-31,16.991,6,8,1986,1.098,0.969,High flow
1986-09-30,18.859,7,9,1986,1.167,0.968,High flow
1986-10-31,19.691,8,10,1986,1.566,0.939,High flow
1986-11-30,10.078,9,11,1986,0.710,0.848,Above normal
1986-12-31,5.944,10,12,1986,0.510,0.758,Above normal
1987-01-31,3.283,11,1,1987,0.356,0.656,Normal range
1987-02-28,1.052,12,2,1987,-0.586,0.486,Normal range
1987-03-31,0.887,1,3,1987,-0.654,0.382,Normal range
1987-04-30,,2,4,1987,,,
1987-05-31,,3,5,1987,,,
1987-06-30,,4,6,1987,,,
1987-07-31,1.700,5,7,1987,-0.771,0.167,Below normal
1987-08-31,2.374,6,8,1987,-0.707,0.094,Low flow
1987-09-30,2.906,7,9,1987,-0.666,0.097,Low flow
1987-10-31,3.309,8,10,1987,-0.569,0.152,Below normal
1987-11-30,2.530,9,11,1987,-0.571,0.242,Below normal
1987-12-31,1.995,10,12,1987,-0.493,0.364,Normal range
1988-01-31,1.163,11,1,1988,-0.520,0.406,Normal range
1988-02-29,1.523,12,2,1988,-0.401,0.600,Normal range
1988-03-31,5.652,1,3,1988,1.205,0.882,High flow
1988-04-30,6.068,2,4,1988,0.849,0.875,High flow
1988-05-31,5.698,3,5,1988,0.284,0.774,Above normal
1988-06-30,1.585,4,6,1988,-0.721,0.194,Below normal
1988-07-31,1.575,5,7,1988,-0.788,0.100,Low flow
1988-08-31,2.129,6,8,1988,-0.737,0.062,Low flow
1988-09-30,2.491,7,9,1988,-0.714,0.065,Low flow
1988-10-31,1.942,8,10,1988,-0.747,0.061,Low flow
1988-11-30,4.181,9,11,1988,-0.291,0.424,Normal range
1988-12-31,3.894,10,12,1988,-0.010,0.576,Normal range
1989-01-31,3.626,11,1,1989,0.497,0.719,Normal range
1989-02-28,0.565,12,2,1989,-0.778,0.229,Below normal
1989-03-31,0.309,1,3,1989,-0.879,0.118,Low flow
1989-04-30,0.737,2,4,1989,-0.775,0.312,Normal range
1989-05-31,0.879,3,5,1989,-0.802,0.258,Below normal
1989-06-30,0.944,4,6,1989,-0.834,0.129,Low flow
