date,discharge,startMonth,endMonth,year,average_percentage,percentile,percentile_range
1980-01-01,,11,1,1980,,,
1980-02-01,,12,2,1980,,,
1980-03-01,5.932,1,3,1980,-0.888,0.244,Below normal
1980-04-01,13.881,2,4,1980,-0.821,0.279,Below normal
1980-05-01,29.069,3,5,1980,-0.727,0.381,Normal range
1980-06-01,86.156,4,6,1980,-0.374,0.524,Normal range
1980-07-01,174.353,5,7,1980,0.080,0.651,Normal range
1980-08-01,245.237,6,8,1980,0.436,0.837,Above normal
1980-09-01,197.754,7,9,1980,0.156,0.568,Normal range
1980-10-01,157.974,8,10,1980,0.048,0.545,Normal range
1980-11-01,80.422,9,11,1980,-0.390,0.318,Normal range
1980-12-01,77.843,10,12,1980,-0.155,0.535,Normal range
1981-01-01,23.420,11,1,1981,-0.598,0.419,Normal range
1981-02-01,40.557,12,2,1981,-0.040,0.571,Normal range
1981-03-01,43.262,1,3,1981,-0.183,0.622,Normal range
1981-04-01,51.999,2,4,1981,-0.329,0.605,Normal range
1981-05-01,136.025,3,5,1981,0.277,0.810,Above normal
1981-06-01,145.689,4,6,1981,0.059,0.714,Normal range
1981-07-01,191.353,5,7,1981,0.185,0.721,Above normal
1981-08-01,174.268,6,8,1981,0.020,0.535,Normal range
1981-09-01,222.448,7,9,1981,0.300,0.682,Normal range
1981-10-01,177.869,8,10,1981,0.180,0.614,Normal range
1981-11-01,92.121,9,11,1981,-0.302,0.455,Normal range
1981-12-01,26.343,10,12,1981,-0.714,0.233,Below normal
1982-01-01,14.970,11,1,1982,-0.743,0.186,Below normal
1982-02-01,8.392,12,2,1982,-0.801,0.286,Normal range
1982-03-01,4.778,1,3,1982,-0.910,0.178,Below normal
1982-04-01,3.699,2,4,1982,-0.952,0.140,Below normal
1982-05-01,20.140,3,5,1982,-0.811,0.357,Normal range
1982-06-01,117.976,4,6,1982,-0.142,0.643,Normal range
1982-07-01,220.771,5,7,1982,0.368,0.814,Above normal
1982-08-01,260.511,6,8,1982,0.525,0.884,High flow
1982-09-01,244.908,7,9,1982,0.432,0.727,Above normal
1982-10-01,154.753,8,10,1982,0.027,0.500,Normal range
1982-11-01,111.705,9,11,1982,-0.153,0.523,Normal range
1982-12-01,30.546,10,12,1982,-0.668,0.302,Normal range
1983-01-01,22.701,11,1,1983,-0.610,0.395,Normal range
1983-02-01,10.726,12,2,1983,-0.746,0.310,Normal range
1983-03-01,11.970,1,3,1983,-0.774,0.333,Normal range
1983-04-01,13.628,2,4,1983,-0.824,0.256,Below normal
1983-05-01,18.158,3,5,1983,-0.830,0.310,Normal range
1983-06-01,56.030,4,6,1983,-0.593,0.333,Normal range
1983-07-01,92.742,5,7,1983,-0.425,0.395,Normal range
1983-08-01,146.714,6,8,1983,-0.141,0.465,Normal range
1983-09-01,218.527,7,9,1983,0.277,0.636,Normal range
1983-10-01,352.031,8,10,1983,1.336,0.955,High flow
1983-11-01,451.488,9,11,1983,2.423,0.977,High flow
1983-12-01,352.356,10,12,1983,2.824,0.977,High flow
