date,discharge,startMonth,endMonth,year,average_percentage,percentile,percentile_range
1980-01-31,,11,1,1980,,,
1980-02-29,,12,2,1980,,,
1980-03-31,,1,3,1980,,,
1980-04-30,,2,4,1980,,,
1980-05-31,,3,5,1980,,,
1980-06-30,,4,6,1980,,,
1980-07-31,,5,7,1980,,,
1980-08-31,,6,8,1980,,,
1980-09-30,,7,9,1980,,,
1980-10-31,,8,10,1980,,,
1980-11-30,,9,11,1980,,,
1980-12-31,,10,12,1980,,,
1981-01-31,,11,1,1981,,,
1981-02-28,,12,2,1981,,,
1981-03-31,9.874,1,3,1981,-0.205,0.556,Normal range
1981-04-30,10.306,2,4,1981,-0.408,0.556,Normal range
1981-05-31,14.767,3,5,1981,-0.341,0.459,Normal range
1981-06-30,25.521,4,6,1981,0.028,0.605,Normal range
1981-07-31,34.097,5,7,1981,0.591,0.763,Above normal
1981-08-31,31.299,6,8,1981,1.109,0.900,High flow
1981-09-30,30.511,7,9,1981,1.097,0.902,High flow
1981-10-31,22.437,8,10,1981,0.237,0.732,Above normal
1981-11-30,17.564,9,11,1981,-0.114,0.590,Normal range
1981-12-31,7.417,10,12,1981,-0.591,0.385,Normal range
1982-01-31,6.181,11,1,1982,-0.573,0.447,Normal range
1982-02-28,8.102,12,2,1982,-0.359,0.632,Normal range
1982-03-31,7.648,1,3,1982,-0.384,0.500,Normal range
1982-04-30,7.486,2,4,1982,-0.570,0.444,Normal range
1982-05-31,4.066,3,5,1982,-0.819,0.270,Below normal
1982-06-30,12.880,4,6,1982,-0.481,0.421,Normal range
1982-07-31,17.003,5,7,1982,-0.207,0.500,Normal range
1982-08-31,19.986,6,8,1982,0.347,0.600,Normal range
1982-09-30,25.617,7,9,1982,0.760,0.829,Above normal
1982-10-31,26.856,8,10,1982,0.481,0.805,Above normal
1982-11-30,26.385,9,11,1982,0.331,0.769,Above normal
1982-12-31,14.581,10,12,1982,-0.195,0.590,Normal range
1983-01-31,9.177,11,1,1983,-0.367,0.553,Normal range
1983-02-28,17.828,12,2,1983,0.411,0.816,Above normal
1983-03-31,21.343,1,3,1983,0.719,0.806,Above normal
1983-04-30,23.865,2,4,1983,0.372,0.722,Above normal
1983-05-31,16.823,3,5,1983,-0.250,0.541,Normal range
1983-06-30,12.371,4,6,1983,-0.502,0.395,Normal range
1983-07-31,20.157,5,7,1983,-0.060,0.553,Normal range
1983-08-31,18.761,6,8,1983,0.264,0.575,Normal range
1983-09-30,21.588,7,9,1983,0.484,0.659,Normal range
1983-10-31,21.099,8,10,1983,0.164,0.659,Normal range
1983-11-30,25.909,9,11,1983,0.307,0.744,Above normal
1983-12-31,21.239,10,12,1983,0.172,0.718,Normal range
1984-01-31,12.308,11,1,1984,-0.151,0.632,Normal range
1984-02-29,6.522,12,2,1984,-0.484,0.605,Normal range
1984-03-31,14.327,1,3,1984,0.154,0.639,Normal range
1984-04-30,18.236,2,4,1984,0.048,0.639,Normal range
1984-05-31,24.516,3,5,1984,0.094,0.622,Normal range
1984-06-30,38.834,4,6,1984,0.565,0.763,Above normal
1984-07-31,45.148,5,7,1984,1.107,0.921,High flow
1984-08-31,35.740,6,8,1984,1.409,0.975,High flow
1984-09-30,20.392,7,9,1984,0.401,0.634,Normal range
1984-10-31,16.961,8,10,1984,-0.065,0.561,Normal range
1984-11-30,18.634,9,11,1984,-0.060,0.641,Normal range
1984-12-31,11.946,10,12,1984,-0.341,0.513,Normal range
1985-01-31,4.173,11,1,1985,-0.712,0.342,Normal range
1985-02-28,0.663,12,2,1985,-0.948,0.211,Below normal
1985-03-31,3.571,1,3,1985,-0.712,0.417,Normal range
1985-04-30,11.898,2,4,1985,-0.316,0.583,Normal range
1985-05-31,20.634,3,5,1985,-0.079,0.595,Normal range
1985-06-30,19.927,4,6,1985,-0.197,0.553,Normal range
1985-07-31,25.248,5,7,1985,0.178,0.632,Normal range
1985-08-31,34.482,6,8,1985,1.324,0.950,High flow
1985-09-30,44.888,7,9,1985,2.085,0.976,High flow
1985-10-31,36.852,8,10,1985,1.032,0.854,Above normal
1985-11-30,19.906,9,11,1985,0.004,0.667,Normal range
1985-12-31,7.202,10,12,1985,-0.603,0.359,Normal range
1986-01-31,3.132,11,1,1986,-0.784,0.316,Normal range
1986-02-28,3.937,12,2,1986,-0.688,0.447,Normal range
1986-03-31,16.654,1,3,1986,0.341,0.694,Normal range
1986-04-30,33.122,2,4,1986,0.904,0.778,Above normal
1986-05-31,42.933,3,5,1986,0.915,0.838,Above normal
1986-06-30,32.826,4,6,1986,0.323,0.684,Normal range
1986-07-31,16.581,5,7,1986,-0.226,0.474,Normal range
1986-08-31,8.928,6,8,1986,-0.398,0.400,Normal range
1986-09-30,15.563,7,9,1986,0.070,0.512,Normal range
1986-10-31,17.729,8,10,1986,-0.022,0.585,Normal range
1986-11-30,45.344,9,11,1986,1.287,0.897,High flow
1986-12-31,39.321,10,12,1986,1.170,0.897,High flow
1987-01-31,35.933,11,1,1987,1.480,0.895,High flow
1987-02-28,4.806,12,2,1987,-0.620,0.500,Normal range
1987-03-31,1.642,1,3,1987,-0.868,0.306,Normal range
1987-04-30,20.972,2,4,1987,0.205,0.667,Normal range
1987-05-31,31.963,3,5,1987,0.426,0.730,Above normal
1987-06-30,34.996,4,6,1987,0.410,0.711,Normal range
1987-07-31,21.141,5,7,1987,-0.014,0.605,Normal range
1987-08-31,22.873,6,8,1987,0.542,0.700,Normal range
1987-09-30,25.007,7,9,1987,0.719,0.780,Above normal
1987-10-31,22.309,8,10,1987,0.230,0.707,Normal range
1987-11-30,15.074,9,11,1987,-0.240,0.513,Normal range
1987-12-31,12.837,10,12,1987,-0.292,0.538,Normal range
1988-01-31,34.486,11,1,1988,1.380,0.868,Above normal
1988-02-29,31.184,12,2,1988,1.469,0.895,High flow
1988-03-31,29.082,1,3,1988,1.342,0.861,Above normal
1988-04-30,5.013,2,4,1988,-0.712,0.333,Normal range
1988-05-31,3.145,3,5,1988,-0.860,0.243,Below normal
1988-06-30,2.795,4,6,1988,-0.887,0.132,Below normal
