date,discharge,month,year,average_percentage,percentile,percentile_range
1980-01-31,1.206,1,1980,-0.920,0.293,Normal range
1980-02-29,1.323,2,1980,-0.949,0.262,Below normal
1980-03-31,33.660,3,1980,0.854,0.825,Above normal
1980-04-30,227.874,4,1980,3.325,0.925,High flow
1980-05-31,24.233,5,1980,-0.620,0.537,Normal range
1980-06-30,149.007,6,1980,1.126,0.902,High flow
1980-07-31,120.058,7,1980,0.298,0.659,Normal range
1980-08-31,128.722,8,1980,0.778,0.829,Above normal
1980-09-30,7.994,9,1980,-0.922,0.048,Low flow
1980-10-31,130.499,10,1980,0.959,0.837,Above normal
1980-11-30,6.908,11,1980,-0.842,0.341,Normal range
1980-12-31,24.470,12,1980,0.098,0.810,Above normal
1981-01-31,2.825,1,1981,-0.812,0.439,Normal range
1981-02-28,2.226,2,1981,-0.914,0.333,Normal range
1981-03-31,0.887,3,1981,-0.951,0.175,Below normal
1981-04-30,0.945,4,1981,-0.982,0.175,Below normal
1981-05-31,60.272,5,1981,-0.055,0.707,Normal range
1981-06-30,134.032,6,1981,0.912,0.829,Above normal
1981-07-31,140.884,7,1981,0.523,0.683,Normal range
1981-08-31,67.430,8,1981,-0.069,0.537,Normal range
1981-09-30,292.342,9,1981,1.865,0.952,High flow
1981-10-31,11.341,10,1981,-0.830,0.163,Below normal
1981-11-30,5.606,11,1981,-0.872,0.268,Below normal
1981-12-31,1.377,12,1981,-0.938,0.190,Below normal
1982-01-31,0.275,1,1982,-0.982,0.098,Low flow
1982-02-28,61.824,2,1982,1.389,0.810,Above normal
1982-03-31,8.657,3,1982,-0.523,0.575,Normal range
1982-04-30,0.133,4,1982,-0.997,0.025,Low flow
1982-05-31,7.034,5,1982,-0.890,0.293,Normal range
1982-06-30,91.030,6,1982,0.299,0.659,Normal range
1982-07-31,258.720,7,1982,1.796,0.927,High flow
1982-08-31,112.724,8,1982,0.557,0.780,Above normal
1982-09-30,125.273,9,1982,0.228,0.714,Normal range
1982-10-31,207.050,10,1982,2.108,0.953,High flow
1982-11-30,37.346,11,1982,-0.148,0.659,Normal range
1982-12-31,3.161,12,1982,-0.858,0.452,Normal range
1983-01-31,1.358,1,1983,-0.910,0.341,Normal range
1983-02-28,6.134,2,1983,-0.763,0.500,Normal range
1983-03-31,17.647,3,1983,-0.028,0.650,Normal range
