date,discharge,month,year,average_percentage,percentile,percentile_range
1980-01-31,0.521,1,1980,-0.921,0.195,Below normal
1980-02-29,1.164,2,1980,-0.907,0.220,Below normal
1980-03-31,4.604,3,1980,-0.649,0.561,Normal range
1980-04-30,29.867,4,1980,1.698,0.857,Above normal
1980-05-31,20.454,5,1980,0.319,0.762,Above normal
1980-06-30,29.791,6,1980,-0.013,0.667,Normal range
1980-07-31,32.684,7,1980,0.149,0.667,Normal range
1980-08-31,27.949,8,1980,0.133,0.714,Normal range
1980-09-30,4.029,9,1980,-0.864,0.075,Low flow
1980-10-31,12.566,10,1980,-0.435,0.525,Normal range
1980-11-30,2.003,11,1980,-0.824,0.098,Low flow
1980-12-31,1.110,12,1980,-0.911,0.171,Below normal
1981-01-31,14.132,1,1981,1.127,0.854,Above normal
1981-02-28,3.743,2,1981,-0.701,0.707,Normal range
1981-03-31,4.092,3,1981,-0.688,0.512,Normal range
1981-04-30,2.295,4,1981,-0.793,0.381,Normal range
1981-05-31,78.565,5,1981,4.066,0.952,High flow
1981-06-30,9.684,6,1981,-0.679,0.262,Below normal
1981-07-31,23.347,7,1981,-0.179,0.476,Normal range
1981-08-31,30.137,8,1981,0.222,0.738,Above normal
1981-09-30,12.736,9,1981,-0.569,0.400,Normal range
1981-10-31,3.439,10,1981,-0.845,0.250,Below normal
1981-11-30,2.987,11,1981,-0.738,0.268,Below normal
1981-12-31,4.495,12,1981,-0.638,0.634,Normal range
1982-01-31,0.627,1,1982,-0.906,0.220,Below normal
1982-02-28,3.180,2,1982,-0.746,0.610,Normal range
1982-03-31,1.442,3,1982,-0.890,0.390,Normal range
1982-04-30,2.757,4,1982,-0.751,0.405,Normal range
1982-05-31,16.045,5,1982,0.035,0.667,Normal range
1982-06-30,48.047,6,1982,0.592,0.738,Above normal
1982-07-31,42.840,7,1982,0.506,0.810,Above normal
1982-08-31,25.570,8,1982,0.037,0.595,Normal range
1982-09-30,21.057,9,1982,-0.287,0.600,Normal range
1982-10-31,7.295,10,1982,-0.672,0.400,Normal range
1982-11-30,2.737,11,1982,-0.760,0.220,Below normal
1982-12-31,1.319,12,1982,-0.894,0.293,Normal range
1983-01-31,1.584,1,1983,-0.762,0.488,Normal range
1983-02-28,1.349,2,1983,-0.892,0.268,Below normal
1983-03-31,0.682,3,1983,-0.948,0.122,Low flow
1983-04-30,1.824,4,1983,-0.835,0.310,Normal range
1983-05-31,2.083,5,1983,-0.866,0.167,Below normal
1983-06-30,20.849,6,1983,-0.309,0.500,Normal range
1983-07-31,5.296,7,1983,-0.814,0.143,Below normal
1983-08-31,54.634,8,1983,1.215,0.881,High flow
1983-09-30,80.620,9,1983,1.731,0.950,High flow
1983-10-31,69.715,10,1983,2.137,0.950,High flow
1983-11-30,34.416,11,1983,2.017,0.927,High flow
1983-12-31,5.766,12,1983,-0.536,0.732,Above normal
1984-01-31,17.940,1,1984,1.701,0.927,High flow
1984-02-29,66.305,2,1984,4.304,0.951,High flow
1984-03-31,10.412,3,1984,-0.207,0.756,Above normal
1984-04-30,4.752,4,1984,-0.571,0.548,Normal range
1984-05-31,43.198,5,1984,1.786,0.929,High flow
1984-06-30,49.610,6,1984,0.643,0.810,Above normal
1984-07-31,74.743,7,1984,1.628,0.976,High flow
1984-08-31,5.246,8,1984,-0.787,0.071,Low flow
1984-09-30,16.491,9,1984,-0.441,0.525,Normal range
1984-10-31,13.858,10,1984,-0.376,0.550,Normal range
1984-11-30,16.500,11,1984,0.446,0.732,Above normal
1984-12-31,1.439,12,1984,-0.884,0.341,Normal range
1985-01-31,1.145,1,1985,-0.828,0.390,Normal range
1985-02-28,0.584,2,1985,-0.953,0.098,Low flow
1985-03-31,4.639,3,1985,-0.647,0.585,Normal range
1985-04-30,7.886,4,1985,-0.288,0.667,Normal range
1985-05-31,8.886,5,1985,-0.427,0.548,Normal range
1985-06-30,24.026,6,1985,-0.204,0.571,Normal range
1985-07-31,23.051,7,1985,-0.190,0.452,Normal range
1985-08-31,27.854,8,1985,0.130,0.690,Normal range
1985-09-30,13.032,9,1985,-0.559,0.425,Normal range
1985-10-31,28.729,10,1985,0.293,0.775,Above normal
1985-11-30,14.844,11,1985,0.301,0.707,Normal range
1985-12-31,1.120,12,1985,-0.910,0.195,Below normal
1986-01-31,0.775,1,1986,-0.883,0.293,Normal range
1986-02-28,3.154,2,1986,-0.748,0.585,Normal range
1986-03-31,1.181,3,1986,-0.910,0.244,Below normal
1986-04-30,0.768,4,1986,-0.931,0.071,Low flow
1986-05-31,9.697,5,1986,-0.375,0.571,Normal range
1986-06-30,23.669,6,1986,-0.216,0.548,Normal range
1986-07-31,24.772,7,1986,-0.129,0.548,Normal range
1986-08-31,122.287,8,1986,3.959,0.976,High flow
1986-09-30,31.439,9,1986,0.065,0.725,Above normal
1986-10-31,23.887,10,1986,0.075,0.725,Above normal
1986-11-30,35.196,11,1986,2.085,0.951,High flow
1986-12-31,5.202,12,1986,-0.581,0.683,Normal range
1987-01-31,1.612,1,1987,-0.757,0.512,Normal range
1987-02-28,1.848,2,1987,-0.852,0.415,Normal range
1987-03-31,12.955,3,1987,-0.014,0.829,Above normal
1987-04-30,2.132,4,1987,-0.807,0.357,Normal range
1987-05-31,3.058,5,1987,-0.803,0.286,Normal range
1987-06-30,1.660,6,1987,-0.945,0.095,Low flow
1987-07-31,20.877,7,1987,-0.266,0.405,Normal range
1987-08-31,18.711,8,1987,-0.241,0.429,Normal range
1987-09-30,7.540,9,1987,-0.745,0.275,Below normal
1987-10-31,18.639,10,1987,-0.161,0.650,Normal range
1987-11-30,2.826,11,1987,-0.752,0.244,Below normal
1987-12-31,2.566,12,1987,-0.794,0.512,Normal range
1988-01-31,16.349,1,1988,1.461,0.902,High flow
1988-02-29,3.745,2,1988,-0.700,0.732,Above normal
1988-03-31,40.013,3,1988,2.047,0.927,High flow
1988-04-30,6.219,4,1988,-0.438,0.619,Normal range
1988-05-31,2.023,5,1988,-0.870,0.143,Below normal
1988-06-30,2.405,6,1988,-0.920,0.119,Low flow
1988-07-31,10.467,7,1988,-0.632,0.190,Below normal
1988-08-31,13.387,8,1988,-0.457,0.357,Normal range
1988-09-30,5.241,9,1988,-0.822,0.150,Below normal
1988-10-31,2.457,10,1988,-0.889,0.175,Below normal
1988-11-30,9.880,11,1988,-0.134,0.610,Normal range
1988-12-31,1.803,12,1988,-0.855,0.463,Normal range
1989-01-31,0.286,1,1989,-0.957,0.122,Low flow
1989-02-28,0.416,2,1989,-0.967,0.073,Low flow
1989-03-31,1.351,3,1989,-0.897,0.317,Normal range
1989-04-30,1.003,4,1989,-0.909,0.095,Low flow
1989-05-31,1.034,5,1989,-0.933,0.048,Low flow
1989-06-30,1.225,6,1989,-0.959,0.071,Low flow
1989-07-31,5.239,7,1989,-0.816,0.119,Low flow
1989-08-31,23.412,8,1989,-0.051,0.524,Normal range
1989-09-30,6.805,9,1989,-0.770,0.225,Below normal
1989-10-31,1.431,10,1989,-0.936,0.100,Low flow
1989-11-30,4.169,11,1989,-0.635,0.341,Normal range
1989-12-31,5.428,12,1989,-0.563,0.707,Normal range
1990-01-31,0.758,1,1990,-0.886,0.268,Below normal
1990-02-28,9.839,2,1990,-0.213,0.780,Above normal
1990-03-31,6.245,3,1990,-0.524,0.634,Normal range
1990-04-30,67.397,4,1990,5.088,0.952,High flow
1990-05-31,6.800,5,1990,-0.561,0.500,Normal range
1990-06-30,23.620,6,1990,-0.218,0.524,Normal range
1990-07-31,3.210,7,1990,-0.887,0.071,Low flow
1990-08-31,1.402,8,1990,-0.943,0.024,Low flow
