date,discharge,startMonth,endMonth,year,average_percentage,percentile,percentile_range
1980-01-01,,11,1,1980,,,
1980-02-01,,12,2,1980,,,
1980-03-01,2.097,1,3,1980,-0.774,0.357,Normal range
1980-04-01,11.878,2,4,1980,-0.012,0.643,Normal range
1980-05-01,18.308,3,5,1980,0.183,0.810,Above normal
1980-06-01,26.704,4,6,1980,0.329,0.762,Above normal
1980-07-01,27.643,5,7,1980,0.125,0.690,Normal range
1980-08-01,30.141,6,8,1980,0.103,0.643,Normal range
1980-09-01,21.554,7,9,1980,-0.121,0.500,Normal range
1980-10-01,14.848,8,10,1980,-0.340,0.375,Normal range
1980-11-01,6.199,9,11,1980,-0.671,0.200,Below normal
1980-12-01,5.226,10,12,1980,-0.636,0.366,Normal range
1981-01-01,5.748,11,1,1981,-0.348,0.512,Normal range
1981-02-01,6.328,12,2,1981,-0.148,0.610,Normal range
1981-03-01,7.322,1,3,1981,-0.211,0.667,Normal range
1981-04-01,3.376,2,4,1981,-0.719,0.357,Normal range
1981-05-01,28.317,3,5,1981,0.829,0.881,High flow
1981-06-01,30.181,4,6,1981,0.502,0.833,Above normal
1981-07-01,37.199,5,7,1981,0.514,0.881,High flow
1981-08-01,21.056,6,8,1981,-0.229,0.310,Normal range
1981-09-01,22.073,7,9,1981,-0.100,0.575,Normal range
1981-10-01,15.437,8,10,1981,-0.314,0.450,Normal range
1981-11-01,6.387,9,11,1981,-0.661,0.225,Below normal
1981-12-01,3.640,10,12,1981,-0.746,0.195,Below normal
1982-01-01,2.703,11,1,1982,-0.694,0.220,Below normal
1982-02-01,2.767,12,2,1982,-0.627,0.366,Normal range
1982-03-01,1.750,1,3,1982,-0.811,0.310,Normal range
1982-04-01,2.460,2,4,1982,-0.795,0.310,Normal range
1982-05-01,6.748,3,5,1982,-0.564,0.500,Normal range
1982-06-01,22.283,4,6,1982,0.109,0.690,Normal range
1982-07-01,35.644,5,7,1982,0.451,0.857,Above normal
1982-08-01,38.819,6,8,1982,0.421,0.810,Above normal
1982-09-01,29.822,7,9,1982,0.216,0.700,Normal range
1982-10-01,17.974,8,10,1982,-0.201,0.475,Normal range
1982-11-01,10.363,9,11,1982,-0.449,0.400,Normal range
1982-12-01,3.784,10,12,1982,-0.736,0.244,Below normal
1983-01-01,1.880,11,1,1983,-0.787,0.171,Below normal
1983-02-01,1.417,12,2,1983,-0.809,0.220,Below normal
1983-03-01,1.205,1,3,1983,-0.870,0.143,Below normal
1983-04-01,1.285,2,4,1983,-0.893,0.143,Below normal
1983-05-01,1.530,3,5,1983,-0.901,0.119,Low flow
1983-06-01,8.252,4,6,1983,-0.589,0.286,Normal range
1983-07-01,9.409,5,7,1983,-0.617,0.167,Below normal
1983-08-01,26.926,6,8,1983,-0.015,0.548,Normal range
1983-09-01,46.850,7,9,1983,0.911,0.900,High flow
1983-10-01,68.323,8,10,1983,2.038,0.975,High flow
1983-11-01,61.584,9,11,1983,2.273,0.975,High flow
1983-12-01,36.633,10,12,1983,1.552,0.902,High flow
