date,discharge,month,year,average_percentage,percentile,percentile_range
1980-01-01,2.701,1,1980,-0.795,0.242,Below normal
1980-02-01,3.397,2,1980,-0.909,0.378,Normal range
1980-03-01,4.654,3,1980,-0.889,0.342,Normal range
1980-04-01,16.560,4,1980,-0.629,0.568,Normal range
1980-05-01,29.604,5,1980,-0.473,0.649,Normal range
1980-06-01,125.240,6,1980,0.533,0.789,Above normal
1980-07-01,212.484,7,1980,1.547,0.950,High flow
1980-08-01,216.264,8,1980,1.958,0.927,High flow
1980-09-01,56.811,9,1980,-0.216,0.571,Normal range
1980-10-01,35.442,10,1980,-0.324,0.500,Normal range
1980-11-01,24.419,11,1980,-0.600,0.514,Normal range
1980-12-01,26.636,12,1980,0.122,0.778,Above normal
1981-01-01,,1,1981,,,
1981-02-01,,2,1981,,,
1981-03-01,,3,1981,,,
1981-04-01,,4,1981,,,
1981-05-01,183.863,5,1981,2.271,0.919,High flow
1981-06-01,,6,1981,,,
1981-07-01,128.427,7,1981,0.539,0.800,Above normal
1981-08-01,196.762,8,1981,1.691,0.878,High flow
1981-09-01,97.014,9,1981,0.339,0.762,Above normal
1981-10-01,25.051,10,1981,-0.522,0.350,Normal range
1981-11-01,,11,1981,,,
1981-12-01,18.915,12,1981,-0.204,0.639,Normal range
1982-01-01,24.729,1,1982,0.875,0.879,High flow
1982-02-01,24.970,2,1982,-0.329,0.784,Above normal
1982-03-01,26.155,3,1982,-0.375,0.684,Normal range
1982-04-01,27.013,4,1982,-0.394,0.676,Normal range
1982-05-01,54.527,5,1982,-0.030,0.757,Above normal
1982-06-01,127.702,6,1982,0.563,0.816,Above normal
1982-07-01,157.974,7,1982,0.893,0.900,High flow
1982-08-01,108.708,8,1982,0.487,0.756,Above normal
1982-09-01,81.255,9,1982,0.121,0.667,Normal range
1982-10-01,24.471,10,1982,-0.534,0.325,Normal range
1982-11-01,30.787,11,1982,-0.496,0.568,Normal range
1982-12-01,,12,1982,,,
1983-01-01,,1,1983,,,
1983-02-01,21.386,2,1983,-0.425,0.703,Normal range
1983-03-01,19.355,3,1983,-0.538,0.632,Normal range
1983-04-01,23.194,4,1983,-0.480,0.622,Normal range
1983-05-01,18.080,5,1983,-0.678,0.595,Normal range
1983-06-01,64.529,6,1983,-0.210,0.500,Normal range
1983-07-01,83.214,7,1983,-0.003,0.600,Normal range
1983-08-01,109.004,8,1983,0.491,0.780,Above normal
1983-09-01,231.976,9,1983,2.201,0.952,High flow
1983-10-01,153.057,10,1983,1.918,0.925,High flow
1983-11-01,389.372,11,1983,5.378,0.973,High flow
1983-12-01,,12,1983,,,
1984-01-01,,1,1984,,,
1984-02-01,176.150,2,1984,3.734,0.946,High flow
1984-03-01,105.561,3,1984,1.521,0.921,High flow
1984-04-01,,4,1984,,,
1984-05-01,,5,1984,,,
1984-06-01,205.137,6,1984,1.510,0.947,High flow
1984-07-01,254.886,7,1984,2.055,0.975,High flow
1984-08-01,27.410,8,1984,-0.625,0.171,Below normal
1984-09-01,50.387,9,1984,-0.305,0.524,Normal range
1984-10-01,,10,1984,,,
1984-11-01,,11,1984,,,
1984-12-01,,12,1984,,,
1985-01-01,,1,1985,,,
1985-02-01,,2,1985,,,
1985-03-01,,3,1985,,,
1985-04-01,,4,1985,,,
1985-05-01,,5,1985,,,
1985-06-01,,6,1985,,,
1985-07-01,,7,1985,,,
1985-08-01,,8,1985,,,
1985-09-01,,9,1985,,,
1985-10-01,,10,1985,,,
1985-11-01,,11,1985,,,
1985-12-01,,12,1985,,,
1986-01-01,,1,1986,,,
1986-02-01,,2,1986,,,
1986-03-01,,3,1986,,,
1986-04-01,,4,1986,,,
1986-05-01,,5,1986,,,
1986-06-01,,6,1986,,,
1986-07-01,,7,1986,,,
1986-08-01,236.059,8,1986,2.228,0.976,High flow
1986-09-01,116.200,9,1986,0.603,0.786,Above normal
1986-10-01,69.726,10,1986,0.329,0.800,Above normal
1986-11-01,174.194,11,1986,1.853,0.946,High flow
1986-12-01,31.127,12,1986,0.311,0.806,Above normal
1987-01-01,8.127,1,1987,-0.384,0.606,Normal range
1987-02-01,9.169,2,1987,-0.754,0.595,Normal range
1987-03-01,36.387,3,1987,-0.131,0.763,Above normal
1987-04-01,11.165,4,1987,-0.750,0.432,Normal range
1987-05-01,8.729,5,1987,-0.845,0.324,Normal range
1987-06-01,7.756,6,1987,-0.905,0.132,Below normal
1987-07-01,52.466,7,1987,-0.371,0.350,Normal range
1987-08-01,106.564,8,1987,0.457,0.707,Normal range
1987-09-01,30.105,9,1987,-0.585,0.238,Below normal
1987-10-01,121.827,10,1987,1.322,0.875,High flow
1987-11-01,18.273,11,1987,-0.701,0.378,Normal range
1987-12-01,34.780,12,1987,0.464,0.833,Above normal
1988-01-01,40.144,1,1988,2.044,0.909,High flow
1988-02-01,15.577,2,1988,-0.581,0.649,Normal range
1988-03-01,53.840,3,1988,0.286,0.868,Above normal
1988-04-01,32.697,4,1988,-0.267,0.703,Normal range
1988-05-01,11.599,5,1988,-0.794,0.405,Normal range
1988-06-01,8.094,6,1988,-0.901,0.158,Below normal
1988-07-01,47.098,7,1988,-0.436,0.300,Normal range
1988-08-01,57.148,8,1988,-0.218,0.488,Normal range
1988-09-01,40.652,9,1988,-0.439,0.429,Normal range
1988-10-01,16.227,10,1988,-0.691,0.225,Below normal
1988-11-01,10.114,11,1988,-0.834,0.216,Below normal
1988-12-01,3.499,12,1988,-0.853,0.250,Below normal
1989-01-01,2.085,1,1989,-0.842,0.182,Below normal
1989-02-01,1.373,2,1989,-0.963,0.162,Below normal
1989-03-01,1.339,3,1989,-0.968,0.105,Low flow
1989-04-01,3.752,4,1989,-0.916,0.189,Below normal
1989-05-01,2.012,5,1989,-0.964,0.081,Low flow
1989-06-01,2.453,6,1989,-0.970,0.079,Low flow
1989-07-01,3.735,7,1989,-0.955,0.050,Low flow
1989-08-01,19.901,8,1989,-0.728,0.098,Low flow
1989-09-01,17.645,9,1989,-0.757,0.095,Low flow
1989-10-01,4.427,10,1989,-0.916,0.050,Low flow
1989-11-01,33.771,11,1989,-0.447,0.622,Normal range
1989-12-01,12.679,12,1989,-0.466,0.500,Normal range
1990-01-01,1.689,1,1990,-0.872,0.152,Below normal
1990-02-01,74.380,2,1990,0.999,0.919,High flow
1990-03-01,16.899,3,1990,-0.596,0.579,Normal range
1990-04-01,135.799,4,1990,2.044,0.865,Above normal
1990-05-01,36.307,5,1990,-0.354,0.703,Normal range
1990-06-01,37.506,6,1990,-0.541,0.395,Normal range
1990-07-01,10.626,7,1990,-0.873,0.100,Low flow
1990-08-01,4.772,8,1990,-0.935,0.024,Low flow
1990-09-01,27.219,9,1990,-0.624,0.190,Below normal
1990-10-01,62.516,10,1990,0.192,0.750,Above normal
1990-11-01,157.436,11,1990,1.579,0.919,High flow
1990-12-01,38.010,12,1990,0.600,0.861,Above normal
1991-01-01,6.710,1,1991,-0.491,0.515,Normal range
1991-02-01,3.095,2,1991,-0.917,0.351,Normal range
1991-03-01,4.106,3,1991,-0.902,0.316,Normal range
1991-04-01,2.822,4,1991,-0.937,0.135,Below normal
1991-05-01,8.934,5,1991,-0.841,0.351,Normal range
1991-06-01,76.744,6,1991,-0.061,0.632,Normal range
1991-07-01,141.113,7,1991,0.691,0.850,Above normal
1991-08-01,85.651,8,1991,0.171,0.585,Normal range
1991-09-01,120.195,9,1991,0.659,0.810,Above normal
1991-10-01,85.716,10,1991,0.634,0.825,Above normal
1991-11-01,36.255,11,1991,-0.406,0.676,Normal range
1991-12-01,15.517,12,1991,-0.347,0.611,Normal range
1992-01-01,3.776,1,1992,-0.714,0.394,Normal range
1992-02-01,4.814,2,1992,-0.871,0.459,Normal range
1992-03-01,6.869,3,1992,-0.836,0.368,Normal range
1992-04-01,25.039,4,1992,-0.439,0.649,Normal range
1992-05-01,99.197,5,1992,0.765,0.838,Above normal
1992-06-01,143.700,6,1992,0.758,0.895,High flow
1992-07-01,100.758,7,1992,0.208,0.675,Normal range
1992-08-01,33.402,8,1992,-0.543,0.268,Below normal
1992-09-01,48.395,9,1992,-0.332,0.500,Normal range
1992-10-01,31.898,10,1992,-0.392,0.450,Normal range
1992-11-01,19.780,11,1992,-0.676,0.432,Normal range
1992-12-01,4.180,12,1992,-0.824,0.333,Normal range
1993-01-01,5.601,1,1993,-0.575,0.455,Normal range
1993-02-01,23.254,2,1993,-0.375,0.757,Above normal
1993-03-01,3.011,3,1993,-0.928,0.263,Below normal
1993-04-01,12.198,4,1993,-0.727,0.486,Normal range
1993-05-01,51.343,5,1993,-0.086,0.730,Above normal
1993-06-01,56.433,6,1993,-0.309,0.474,Normal range
1993-07-01,38.347,7,1993,-0.540,0.250,Below normal
1993-08-01,95.940,8,1993,0.312,0.683,Normal range
1993-09-01,87.506,9,1993,0.208,0.690,Normal range
1993-10-01,55.637,10,1993,0.061,0.700,Normal range
1993-11-01,63.730,11,1993,0.044,0.811,Above normal
1993-12-01,85.896,12,1993,2.617,0.917,High flow
1994-01-01,8.082,1,1994,-0.387,0.576,Normal range
1994-02-01,14.268,2,1994,-0.617,0.622,Normal range
1994-03-01,33.311,3,1994,-0.204,0.711,Normal range
1994-04-01,8.756,4,1994,-0.804,0.405,Normal range
1994-05-01,74.604,5,1994,0.327,0.784,Above normal
1994-06-01,14.881,6,1994,-0.818,0.289,Normal range
1994-07-01,52.657,7,1994,-0.369,0.375,Normal range
1994-08-01,128.779,8,1994,0.761,0.829,Above normal
1994-09-01,122.862,9,1994,0.695,0.857,Above normal
1994-10-01,50.889,10,1994,-0.030,0.675,Normal range
1994-11-01,51.696,11,1994,-0.153,0.757,Above normal
1994-12-01,15.399,12,1994,-0.352,0.583,Normal range
1995-01-01,,1,1995,,,
1995-02-01,,2,1995,,,
1995-03-01,,3,1995,,,
1995-04-01,75.148,4,1995,0.685,0.811,Above normal
1995-05-01,23.661,5,1995,-0.579,0.622,Normal range
1995-06-01,54.745,6,1995,-0.330,0.447,Normal range
1995-07-01,115.156,7,1995,0.380,0.700,Normal range
1995-08-01,20.304,8,1995,-0.722,0.122,Low flow
1995-09-01,13.139,9,1995,-0.819,0.071,Low flow
1995-10-01,38.517,10,1995,-0.266,0.550,Normal range
1995-11-01,57.211,11,1995,-0.063,0.784,Above normal
1995-12-01,8.751,12,1995,-0.632,0.444,Normal range
1996-01-01,,1,1996,,,
1996-02-01,0.406,2,1996,-0.989,0.027,Low flow
1996-03-01,6.937,3,1996,-0.834,0.395,Normal range
1996-04-01,47.612,4,1996,0.067,0.757,Above normal
1996-05-01,,5,1996,,,
1996-06-01,6.520,6,1996,-0.920,0.105,Low flow
1996-07-01,7.734,7,1996,-0.907,0.075,Low flow
1996-08-01,,8,1996,,,
1996-09-01,4.028,9,1996,-0.944,0.024,Low flow
1996-10-01,39.128,10,1996,-0.254,0.600,Normal range
1996-11-01,18.525,11,1996,-0.697,0.405,Normal range
1996-12-01,,12,1996,,,
1997-01-01,2.350,1,1997,-0.822,0.212,Below normal
1997-02-01,4.981,2,1997,-0.866,0.514,Normal range
1997-03-01,1.614,3,1997,-0.961,0.132,Below normal
1997-04-01,1.307,4,1997,-0.971,0.054,Low flow
1997-05-01,2.296,5,1997,-0.959,0.135,Below normal
1997-06-01,,6,1997,,,
1997-07-01,15.987,7,1997,-0.808,0.150,Below normal
1997-08-01,49.774,8,1997,-0.319,0.439,Normal range
1997-09-01,26.029,9,1997,-0.641,0.143,Below normal
1997-10-01,48.810,10,1997,-0.070,0.650,Normal range
1997-11-01,33.889,11,1997,-0.445,0.649,Normal range
1997-12-01,123.771,12,1997,4.212,0.972,High flow
1998-01-01,77.246,1,1998,4.857,0.970,High flow
1998-02-01,8.761,2,1998,-0.765,0.568,Normal range
1998-03-01,7.326,3,1998,-0.825,0.421,Normal range
1998-04-01,140.230,4,1998,2.143,0.892,High flow
1998-05-01,7.419,5,1998,-0.868,0.297,Normal range
1998-06-01,78.737,6,1998,-0.036,0.658,Normal range
1998-07-01,196.550,7,1998,1.356,0.925,High flow
1998-08-01,55.014,8,1998,-0.248,0.463,Normal range
1998-09-01,32.581,9,1998,-0.550,0.262,Below normal
1998-10-01,9.704,10,1998,-0.815,0.125,Low flow
1998-11-01,20.555,11,1998,-0.663,0.459,Normal range
1998-12-01,20.154,12,1998,-0.151,0.667,Normal range
1999-01-01,22.139,1,1999,0.679,0.818,Above normal
1999-02-01,,2,1999,,,
1999-03-01,39.287,3,1999,-0.062,0.789,Above normal
1999-04-01,,4,1999,,,
1999-05-01,13.589,5,1999,-0.758,0.486,Normal range
1999-06-01,137.299,6,1999,0.680,0.842,Above normal
1999-07-01,156.773,7,1999,0.879,0.875,High flow
1999-08-01,47.397,8,1999,-0.352,0.390,Normal range
1999-09-01,61.751,9,1999,-0.148,0.619,Normal range
1999-10-01,,10,1999,,,
1999-11-01,,11,1999,,,
1999-12-01,,12,1999,,,
2000-01-01,,1,2000,,,
2000-02-01,,2,2000,,,
2000-03-01,,3,2000,,,
2000-04-01,,4,2000,,,
2000-05-01,,5,2000,,,
2000-06-01,118.894,6,2000,0.455,0.763,Above normal
2000-07-01,131.347,7,2000,0.574,0.825,Above normal
2000-08-01,34.217,8,2000,-0.532,0.293,Normal range
2000-09-01,168.532,9,2000,1.326,0.905,High flow
2000-10-01,31.057,10,2000,-0.408,0.425,Normal range
2000-11-01,,11,2000,,,
2000-12-01,2.186,12,2000,-0.908,0.111,Low flow
2001-01-01,11.954,1,2001,-0.094,0.667,Normal range
2001-02-01,28.940,2,2001,-0.222,0.811,Above normal
2001-03-01,46.539,3,2001,0.111,0.842,Above normal
2001-04-01,14.990,4,2001,-0.664,0.514,Normal range
2001-05-01,12.979,5,2001,-0.769,0.432,Normal range
2001-06-01,142.679,6,2001,0.746,0.868,Above normal
2001-07-01,60.036,7,2001,-0.280,0.500,Normal range
2001-08-01,62.287,8,2001,-0.148,0.512,Normal range
2001-09-01,46.650,9,2001,-0.356,0.452,Normal range
2001-10-01,158.862,10,2001,2.028,0.950,High flow
2001-11-01,65.392,11,2001,0.071,0.838,Above normal
2001-12-01,23.829,12,2001,0.003,0.750,Above normal
2002-01-01,6.520,1,2002,-0.506,0.485,Normal range
2002-02-01,31.425,2,2002,-0.155,0.838,Above normal
2002-03-01,443.988,3,2002,9.604,0.974,High flow
2002-04-01,224.943,4,2002,4.042,0.946,High flow
2002-05-01,110.983,5,2002,0.975,0.865,Above normal
2002-06-01,105.372,6,2002,0.289,0.737,Above normal
2002-07-01,55.488,7,2002,-0.335,0.400,Normal range
2002-08-01,150.112,8,2002,1.053,0.854,Above normal
2002-09-01,53.558,9,2002,-0.261,0.548,Normal range
2002-10-01,37.656,10,2002,-0.282,0.525,Normal range
2002-11-01,49.998,11,2002,-0.181,0.730,Above normal
2002-12-01,65.051,12,2002,1.739,0.889,High flow
2003-01-01,20.909,1,2003,0.586,0.788,Above normal
2003-02-01,73.659,2,2003,0.980,0.892,High flow
2003-03-01,35.526,3,2003,-0.152,0.737,Above normal
2003-04-01,15.560,4,2003,-0.651,0.541,Normal range
2003-05-01,206.283,5,2003,2.670,0.973,High flow
2003-06-01,145.538,6,2003,0.781,0.921,High flow
2003-07-01,58.802,7,2003,-0.295,0.450,Normal range
2003-08-01,93.477,8,2003,0.278,0.634,Normal range
2003-09-01,174.088,9,2003,1.402,0.929,High flow
2003-10-01,31.981,10,2003,-0.390,0.475,Normal range
2003-11-01,87.547,11,2003,0.434,0.865,Above normal
2003-12-01,22.963,12,2003,-0.033,0.694,Normal range
2004-01-01,15.420,1,2004,0.169,0.697,Normal range
2004-02-01,3.626,2,2004,-0.903,0.405,Normal range
2004-03-01,1.883,3,2004,-0.955,0.184,Below normal
2004-04-01,11.685,4,2004,-0.738,0.459,Normal range
2004-05-01,80.674,5,2004,0.435,0.811,Above normal
2004-06-01,37.257,6,2004,-0.544,0.368,Normal range
2004-07-01,58.089,7,2004,-0.304,0.425,Normal range
2004-08-01,15.324,8,2004,-0.790,0.073,Low flow
2004-09-01,20.404,9,2004,-0.718,0.119,Low flow
2004-10-01,38.583,10,2004,-0.265,0.575,Normal range
2004-11-01,29.852,11,2004,-0.511,0.541,Normal range
2004-12-01,6.143,12,2004,-0.741,0.417,Normal range
2005-01-01,3.070,1,2005,-0.767,0.303,Normal range
2005-02-01,1.142,2,2005,-0.969,0.108,Low flow
2005-03-01,1.244,3,2005,-0.970,0.079,Low flow
2005-04-01,64.413,4,2005,0.444,0.784,Above normal
2005-05-01,178.775,5,2005,2.181,0.892,High flow
2005-06-01,333.807,6,2005,3.085,0.974,High flow
2005-07-01,75.521,7,2005,-0.095,0.550,Normal range
2005-08-01,28.039,8,2005,-0.617,0.195,Below normal
2005-09-01,62.950,9,2005,-0.131,0.643,Normal range
2005-10-01,18.623,10,2005,-0.645,0.250,Below normal
2005-11-01,5.439,11,2005,-0.911,0.108,Low flow
2005-12-01,2.522,12,2005,-0.894,0.139,Below normal
2006-01-01,6.999,1,2006,-0.469,0.545,Normal range
2006-02-01,2.626,2,2006,-0.929,0.297,Normal range
2006-03-01,9.203,3,2006,-0.780,0.474,Normal range
2006-04-01,6.470,4,2006,-0.855,0.351,Normal range
2006-05-01,3.053,5,2006,-0.946,0.189,Below normal
2006-06-01,71.416,6,2006,-0.126,0.553,Normal range
2006-07-01,59.603,7,2006,-0.286,0.475,Normal range
2006-08-01,110.767,8,2006,0.515,0.805,Above normal
2006-09-01,32.818,9,2006,-0.547,0.286,Normal range
2006-10-01,11.391,10,2006,-0.783,0.175,Below normal
2006-11-01,15.699,11,2006,-0.743,0.324,Normal range
2006-12-01,3.770,12,2006,-0.841,0.306,Normal range
2007-01-01,1.281,1,2007,-0.903,0.091,Low flow
2007-02-01,1.048,2,2007,-0.972,0.081,Low flow
2007-03-01,14.223,3,2007,-0.660,0.526,Normal range
2007-04-01,156.508,4,2007,2.508,0.919,High flow
2007-05-01,190.844,5,2007,2.396,0.946,High flow
2007-06-01,40.024,6,2007,-0.510,0.421,Normal range
2007-07-01,19.831,7,2007,-0.762,0.175,Below normal
2007-08-01,38.789,8,2007,-0.470,0.341,Normal range
2007-09-01,122.309,9,2007,0.688,0.833,Above normal
2007-10-01,171.583,10,2007,2.271,0.975,High flow
2007-11-01,15.085,11,2007,-0.753,0.297,Normal range
2007-12-01,3.562,12,2007,-0.850,0.278,Below normal
2008-01-01,3.322,1,2008,-0.748,0.333,Normal range
2008-02-01,2.829,2,2008,-0.924,0.324,Normal range
2008-03-01,70.876,3,2008,0.693,0.895,High flow
2008-04-01,5.167,4,2008,-0.884,0.270,Below normal
2008-05-01,7.270,5,2008,-0.871,0.270,Below normal
2008-06-01,23.837,6,2008,-0.708,0.316,Normal range
2008-07-01,26.294,7,2008,-0.685,0.200,Below normal
2008-08-01,36.363,8,2008,-0.503,0.317,Normal range
2008-09-01,34.228,9,2008,-0.528,0.333,Normal range
2008-10-01,8.743,10,2008,-0.833,0.100,Low flow
2008-11-01,2.299,11,2008,-0.962,0.027,Low flow
2008-12-01,1.187,12,2008,-0.950,0.028,Low flow
