date,discharge,startMonth,endMonth,year,average_percentage,percentile,percentile_range
1980-01-01,,11,1,1980,,,
1980-02-01,,12,2,1980,,,
1980-03-01,3.584,1,3,1980,-0.850,0.250,Below normal
1980-04-01,8.204,2,4,1980,-0.755,0.333,Normal range
1980-05-01,16.939,3,5,1980,-0.641,0.382,Normal range
1980-06-01,57.135,4,6,1980,-0.049,0.706,Normal range
1980-07-01,122.443,5,7,1980,0.756,0.914,High flow
1980-08-01,184.663,6,8,1980,1.371,0.973,High flow
1980-09-01,161.853,7,9,1980,1.179,0.974,High flow
1980-10-01,102.839,8,10,1980,0.506,0.821,Above normal
1980-11-01,38.890,9,11,1980,-0.371,0.459,Normal range
1980-12-01,28.832,10,12,1980,-0.341,0.515,Normal range
1981-01-01,,11,1,1981,,,
1981-02-01,,12,2,1981,,,
1981-03-01,,1,3,1981,,,
1981-04-01,,2,4,1981,,,
1981-05-01,,3,5,1981,,,
1981-06-01,,4,6,1981,,,
1981-07-01,,5,7,1981,,,
1981-08-01,,6,8,1981,,,
1981-09-01,140.735,7,9,1981,0.895,0.923,High flow
1981-10-01,106.276,8,10,1981,0.556,0.872,High flow
1981-11-01,,9,11,1981,,,
1981-12-01,,10,12,1981,,,
1982-01-01,,11,1,1982,,,
1982-02-01,22.871,12,2,1982,0.213,0.700,Normal range
1982-03-01,25.285,1,3,1982,0.055,0.656,Normal range
1982-04-01,26.046,2,4,1982,-0.224,0.639,Normal range
1982-05-01,35.898,3,5,1982,-0.240,0.706,Normal range
1982-06-01,69.747,4,6,1982,0.161,0.735,Above normal
1982-07-01,113.401,5,7,1982,0.627,0.857,Above normal
1982-08-01,131.461,6,8,1982,0.688,0.892,High flow
1982-09-01,115.979,7,9,1982,0.562,0.897,High flow
1982-10-01,71.478,8,10,1982,0.047,0.538,Normal range
1982-11-01,45.504,9,11,1982,-0.264,0.541,Normal range
1982-12-01,,10,12,1982,,,
1983-01-01,,11,1,1983,,,
1983-02-01,,12,2,1983,,,
1983-03-01,,1,3,1983,,,
1983-04-01,21.312,2,4,1983,-0.365,0.583,Normal range
1983-05-01,20.210,3,5,1983,-0.572,0.500,Normal range
1983-06-01,35.268,4,6,1983,-0.413,0.500,Normal range
1983-07-01,55.275,5,7,1983,-0.207,0.486,Normal range
1983-08-01,85.583,6,8,1983,0.099,0.595,Normal range
1983-09-01,141.398,7,9,1983,0.904,0.949,High flow
1983-10-01,164.679,8,10,1983,1.412,0.974,High flow
1983-11-01,258.135,9,11,1983,3.174,0.973,High flow
1983-12-01,,10,12,1983,,,
1984-01-01,,11,1,1984,,,
1984-02-01,,12,2,1984,,,
1984-03-01,,1,3,1984,,,
1984-04-01,,2,4,1984,,,
1984-05-01,,3,5,1984,,,
1984-06-01,,4,6,1984,,,
1984-07-01,,5,7,1984,,,
1984-08-01,162.478,6,8,1984,1.086,0.946,High flow
1984-09-01,110.894,7,9,1984,0.493,0.821,Above normal
1984-10-01,,8,10,1984,,,
1984-11-01,,9,11,1984,,,
1984-12-01,,10,12,1984,,,
