date,discharge,month,year,average_percentage,percentile,percentile_range
1980-01-31,,1,1980,,,
1980-02-29,,2,1980,,,
1980-03-31,,3,1980,,,
1980-04-30,,4,1980,,,
1980-05-31,,5,1980,,,
1980-06-30,,6,1980,,,
1980-07-31,,7,1980,,,
1980-08-31,,8,1980,,,
1980-09-30,,9,1980,,,
1980-10-31,,10,1980,,,
1980-11-30,,11,1980,,,
1980-12-31,,12,1980,,,
1981-01-31,,1,1981,,,
1981-02-28,,2,1981,,,
1981-03-31,,3,1981,,,
1981-04-30,,4,1981,,,
1981-05-31,,5,1981,,,
1981-06-30,,6,1981,,,
1981-07-31,,7,1981,,,
1981-08-31,,8,1981,,,
1981-09-30,,9,1981,,,
1981-10-31,,10,1981,,,
1981-11-30,,11,1981,,,
1981-12-31,,12,1981,,,
1982-01-31,,1,1982,,,
1982-02-28,,2,1982,,,
1982-03-31,,3,1982,,,
1982-04-30,,4,1982,,,
1982-05-31,,5,1982,,,
1982-06-30,,6,1982,,,
1982-07-31,,7,1982,,,
1982-08-31,,8,1982,,,
1982-09-30,,9,1982,,,
1982-10-31,,10,1982,,,
1982-11-30,,11,1982,,,
1982-12-31,,12,1982,,,
1983-01-31,,1,1983,,,
1983-02-28,,2,1983,,,
1983-03-31,,3,1983,,,
1983-04-30,,4,1983,,,
1983-05-31,,5,1983,,,
1983-06-30,,6,1983,,,
1983-07-31,,7,1983,,,
1983-08-31,,8,1983,,,
1983-09-30,,9,1983,,,
1983-10-31,,10,1983,,,
1983-11-30,,11,1983,,,
1983-12-31,,12,1983,,,
1984-01-31,,1,1984,,,
1984-02-29,,2,1984,,,
1984-03-31,,3,1984,,,
1984-04-30,,4,1984,,,
1984-05-31,,5,1984,,,
1984-06-30,,6,1984,,,
1984-07-31,,7,1984,,,
1984-08-31,,8,1984,,,
1984-09-30,,9,1984,,,
1984-10-31,,10,1984,,,
1984-11-30,,11,1984,,,
1984-12-31,,12,1984,,,
1985-01-31,,1,1985,,,
