date,discharge,startMonth,endMonth,year,average_percentage,percentile,percentile_range
1980-01-31,,11,1,1980,,,
1980-02-29,,12,2,1980,,,
1980-03-31,,1,3,1980,,,
1980-04-30,,2,4,1980,,,
1980-05-31,,3,5,1980,,,
1980-06-30,,4,6,1980,,,
1980-07-31,,5,7,1980,,,
1980-08-31,,6,8,1980,,,
1980-09-30,,7,9,1980,,,
1980-10-31,,8,10,1980,,,
1980-11-30,,9,11,1980,,,
1980-12-31,,10,12,1980,,,
1981-01-31,,11,1,1981,,,
1981-02-28,,12,2,1981,,,
1981-03-31,,1,3,1981,,,
1981-04-30,,2,4,1981,,,
1981-05-31,,3,5,1981,,,
1981-06-30,,4,6,1981,,,
1981-07-31,,5,7,1981,,,
1981-08-31,,6,8,1981,,,
1981-09-30,,7,9,1981,,,
1981-10-31,,8,10,1981,,,
1981-11-30,,9,11,1981,,,
1981-12-31,,10,12,1981,,,
1982-01-31,,11,1,1982,,,
1982-02-28,,12,2,1982,,,
1982-03-31,,1,3,1982,,,
1982-04-30,,2,4,1982,,,
1982-05-31,,3,5,1982,,,
1982-06-30,,4,6,1982,,,
1982-07-31,,5,7,1982,,,
1982-08-31,,6,8,1982,,,
1982-09-30,,7,9,1982,,,
1982-10-31,,8,10,1982,,,
1982-11-30,,9,11,1982,,,
1982-12-31,,10,12,1982,,,
1983-01-31,,11,1,1983,,,
1983-02-28,,12,2,1983,,,
1983-03-31,,1,3,1983,,,
1983-04-30,,2,4,1983,,,
1983-05-31,,3,5,1983,,,
1983-06-30,,4,6,1983,,,
1983-07-31,,5,7,1983,,,
1983-08-31,,6,8,1983,,,
1983-09-30,,7,9,1983,,,
1983-10-31,,8,10,1983,,,
1983-11-30,,9,11,1983,,,
1983-12-31,,10,12,1983,,,
1984-01-31,,11,1,1984,,,
1984-02-29,,12,2,1984,,,
1984-03-31,,1,3,1984,,,
1984-04-30,,2,4,1984,,,
1984-05-31,,3,5,1984,,,
1984-06-30,,4,6,1984,,,
1984-07-31,,5,7,1984,,,
1984-08-31,,6,8,1984,,,
1984-09-30,,7,9,1984,,,
1984-10-31,,8,10,1984,,,
1984-11-30,,9,11,1984,,,
1984-12-31,,10,12,1984,,,
1985-01-31,,11,1,1985,,,
1985-02-28,,12,2,1985,,,
1985-03-31,,1,3,1985,,,
1985-04-30,,2,4,1985,,,
1985-05-31,,3,5,1985,,,
1985-06-30,,4,6,1985,,,
1985-07-31,,5,7,1985,,,
1985-08-31,,6,8,1985,,,
1985-09-30,,7,9,1985,,,
1985-10-31,,8,10,1985,,,
1985-11-30,,9,11,1985,,,
1985-12-31,88.076,10,12,1985,-0.273,0.559,Normal range
1986-01-31,28.532,11,1,1986,-0.735,0.394,Normal range
1986-02-28,12.895,12,2,1986,-0.855,0.257,Below normal
1986-03-31,23.026,1,3,1986,-0.697,0.333,Normal range
1986-04-30,155.900,2,4,1986,0.288,0.710,Normal range
1986-05-31,345.270,3,5,1986,0.933,0.759,Above normal
1986-06-30,386.724,4,6,1986,0.918,0.828,Above normal
1986-07-31,273.436,5,7,1986,0.454,0.733,Above normal
1986-08-31,164.321,6,8,1986,0.102,0.567,Normal range
1986-09-30,177.445,7,9,1986,0.199,0.733,Above normal
1986-10-31,164.828,8,10,1986,0.132,0.710,Normal range
1986-11-30,236.378,9,11,1986,0.675,0.818,Above normal
1986-12-31,198.674,10,12,1986,0.640,0.824,Above normal
1987-01-31,191.525,11,1,1987,0.776,0.848,Above normal
1987-02-28,42.250,12,2,1987,-0.526,0.514,Normal range
1987-03-31,12.696,1,3,1987,-0.833,0.212,Below normal
1987-04-30,44.633,2,4,1987,-0.631,0.355,Normal range
1987-05-31,55.480,3,5,1987,-0.689,0.276,Below normal
1987-06-30,56.836,4,6,1987,-0.718,0.276,Below normal
1987-07-31,43.458,5,7,1987,-0.769,0.200,Below normal
1987-08-31,84.391,6,8,1987,-0.434,0.333,Normal range
1987-09-30,103.631,7,9,1987,-0.300,0.400,Normal range
1987-10-31,106.458,8,10,1987,-0.269,0.548,Normal range
1987-11-30,81.156,9,11,1987,-0.425,0.455,Normal range
1987-12-31,91.432,10,12,1987,-0.245,0.588,Normal range
1988-01-31,104.485,11,1,1988,-0.031,0.606,Normal range
1988-02-29,83.997,12,2,1988,-0.058,0.657,Normal range
1988-03-31,61.937,1,3,1988,-0.184,0.636,Normal range
1988-04-30,75.075,2,4,1988,-0.380,0.484,Normal range
1988-05-31,75.544,3,5,1988,-0.577,0.448,Normal range
1988-06-30,66.283,4,6,1988,-0.671,0.345,Normal range
1988-07-31,26.852,5,7,1988,-0.857,0.167,Below normal
1988-08-31,72.269,6,8,1988,-0.515,0.300,Normal range
1988-09-30,117.404,7,9,1988,-0.207,0.467,Normal range
1988-10-31,125.835,8,10,1988,-0.136,0.613,Normal range
1988-11-30,72.987,9,11,1988,-0.483,0.424,Normal range
1988-12-31,29.287,10,12,1988,-0.758,0.265,Below normal
1989-01-31,10.176,11,1,1989,-0.906,0.091,Low flow
1989-02-28,7.271,12,2,1989,-0.918,0.086,Low flow
1989-03-31,3.706,1,3,1989,-0.951,0.030,Low flow
1989-04-30,11.412,2,4,1989,-0.906,0.065,Low flow
1989-05-31,14.993,3,5,1989,-0.916,0.069,Low flow
1989-06-30,15.547,4,6,1989,-0.923,0.103,Low flow
1989-07-31,8.836,5,7,1989,-0.953,0.033,Low flow
1989-08-31,13.730,6,8,1989,-0.908,0.067,Low flow
1989-09-30,22.483,7,9,1989,-0.848,0.100,Low flow
1989-10-31,23.788,8,10,1989,-0.837,0.097,Low flow
1989-11-30,70.978,9,11,1989,-0.497,0.394,Normal range
1989-12-31,65.895,10,12,1989,-0.456,0.412,Normal range
1990-01-31,63.514,11,1,1990,-0.411,0.485,Normal range
1990-02-28,90.038,12,2,1990,0.010,0.714,Normal range
1990-03-31,269.997,1,3,1990,2.558,0.939,High flow
1990-04-30,426.289,2,4,1990,2.521,0.968,High flow
1990-05-31,384.224,3,5,1990,1.151,0.828,Above normal
1990-06-30,230.297,4,6,1990,0.142,0.621,Normal range
