date,discharge,month,year,average_percentage,percentile,percentile_range
1980-01-01,4.194,1,1980,-0.858,0.244,Below normal
1980-02-01,4.526,2,1980,-0.922,0.275,Below normal
1980-03-01,12.689,3,1980,-0.721,0.585,Normal range
1980-04-01,195.164,4,1980,1.079,0.829,Above normal
1980-05-01,37.597,5,1980,-0.731,0.538,Normal range
1980-06-01,310.117,6,1980,1.336,0.861,Above normal
1980-07-01,200.093,7,1980,0.561,0.750,Above normal
1980-08-01,160.013,8,1980,0.325,0.763,Above normal
1980-09-01,12.893,9,1980,-0.907,0.050,Low flow
1980-10-01,175.533,10,1980,1.164,0.846,Above normal
1980-11-01,11.806,11,1980,-0.862,0.154,Below normal
1980-12-01,43.300,12,1980,-0.069,0.692,Normal range
1981-01-01,7.344,1,1981,-0.751,0.415,Normal range
1981-02-01,45.278,2,1981,-0.218,0.750,Above normal
1981-03-01,6.556,3,1981,-0.856,0.366,Normal range
1981-04-01,9.091,4,1981,-0.903,0.244,Below normal
1981-05-01,178.672,5,1981,0.276,0.769,Above normal
1981-06-01,44.170,6,1981,-0.667,0.333,Normal range
1981-07-01,230.888,7,1981,0.802,0.833,Above normal
1981-08-01,128.512,8,1981,0.064,0.658,Normal range
1981-09-01,225.816,9,1981,0.623,0.775,Above normal
1981-10-01,26.938,10,1981,-0.668,0.205,Below normal
1981-11-01,30.724,11,1981,-0.641,0.487,Normal range
1981-12-01,6.607,12,1981,-0.858,0.282,Normal range
1982-01-01,3.160,1,1982,-0.893,0.098,Low flow
1982-02-01,8.838,2,1982,-0.847,0.500,Normal range
1982-03-01,4.044,3,1982,-0.911,0.268,Below normal
1982-04-01,,4,1982,,,
1982-05-01,15.004,5,1982,-0.893,0.333,Normal range
1982-06-01,214.256,6,1982,0.614,0.750,Above normal
1982-07-01,316.559,7,1982,1.470,0.944,High flow
1982-08-01,105.150,8,1982,-0.129,0.500,Normal range
1982-09-01,267.910,9,1982,0.926,0.800,Above normal
1982-10-01,66.047,10,1982,-0.186,0.513,Normal range
1982-11-01,53.657,11,1982,-0.373,0.538,Normal range
1982-12-01,6.283,12,1982,-0.865,0.231,Below normal
1983-01-01,5.925,1,1983,-0.800,0.341,Normal range
1983-02-01,15.800,2,1983,-0.727,0.550,Normal range
1983-03-01,6.579,3,1983,-0.855,0.390,Normal range
1983-04-01,28.116,4,1983,-0.700,0.561,Normal range
1983-05-01,14.116,5,1983,-0.899,0.308,Normal range
1983-06-01,51.640,6,1983,-0.611,0.472,Normal range
1983-07-01,115.873,7,1983,-0.096,0.500,Normal range
1983-08-01,174.542,8,1983,0.446,0.816,Above normal
1983-09-01,192.991,9,1983,0.387,0.675,Normal range
1983-10-01,191.048,10,1983,1.355,0.897,High flow
1983-11-01,399.315,11,1983,3.665,0.923,High flow
1983-12-01,19.650,12,1983,-0.577,0.487,Normal range
1984-01-01,215.720,1,1984,6.299,0.951,High flow
1984-02-01,254.056,2,1984,3.391,0.925,High flow
1984-03-01,173.888,3,1984,2.819,0.951,High flow
1984-04-01,85.134,4,1984,-0.093,0.707,Normal range
1984-05-01,126.968,5,1984,-0.093,0.718,Normal range
1984-06-01,425.300,6,1984,2.204,0.944,High flow
1984-07-01,455.614,7,1984,2.555,0.972,High flow
1984-08-01,57.674,8,1984,-0.522,0.211,Below normal
1984-09-01,175.104,9,1984,0.259,0.600,Normal range
1984-10-01,100.373,10,1984,0.237,0.564,Normal range
1984-11-01,59.369,11,1984,-0.306,0.641,Normal range
1984-12-01,7.611,12,1984,-0.836,0.308,Normal range
1985-01-01,5.477,1,1985,-0.815,0.317,Normal range
1985-02-01,3.483,2,1985,-0.940,0.175,Below normal
1985-03-01,3.807,3,1985,-0.916,0.220,Below normal
1985-04-01,44.419,4,1985,-0.527,0.610,Normal range
1985-05-01,7.754,5,1985,-0.945,0.154,Below normal
1985-06-01,38.048,6,1985,-0.713,0.306,Normal range
1985-07-01,92.584,7,1985,-0.278,0.389,Normal range
1985-08-01,252.044,8,1985,1.088,0.895,High flow
1985-09-01,167.702,9,1985,0.205,0.575,Normal range
1985-10-01,60.851,10,1985,-0.250,0.462,Normal range
1985-11-01,29.386,11,1985,-0.657,0.462,Normal range
1985-12-01,4.791,12,1985,-0.897,0.103,Low flow
1986-01-01,4.160,1,1986,-0.859,0.220,Below normal
1986-02-01,,2,1986,,,
1986-03-01,4.256,3,1986,-0.907,0.293,Normal range
1986-04-01,11.163,4,1986,-0.881,0.317,Normal range
1986-05-01,239.702,5,1986,0.712,0.821,Above normal
1986-06-01,137.538,6,1986,0.036,0.694,Normal range
1986-07-01,34.829,7,1986,-0.728,0.222,Below normal
1986-08-01,427.820,8,1986,2.544,0.974,High flow
1986-09-01,64.686,9,1986,-0.535,0.200,Below normal
1986-10-01,109.527,10,1986,0.350,0.615,Normal range
1986-11-01,430.599,11,1986,4.031,0.974,High flow
1986-12-01,45.923,12,1986,-0.012,0.718,Normal range
1987-01-01,7.780,1,1987,-0.737,0.439,Normal range
1987-02-01,5.724,2,1987,-0.901,0.325,Normal range
1987-03-01,7.442,3,1987,-0.837,0.415,Normal range
1987-04-01,9.643,4,1987,-0.897,0.293,Normal range
1987-05-01,11.815,5,1987,-0.916,0.256,Below normal
1987-06-01,12.454,6,1987,-0.906,0.194,Below normal
1987-07-01,146.929,7,1987,0.146,0.611,Normal range
1987-08-01,222.916,8,1987,0.846,0.842,Above normal
1987-09-01,91.459,9,1987,-0.343,0.350,Normal range
1987-10-01,124.973,10,1987,0.541,0.718,Normal range
1987-11-01,14.324,11,1987,-0.833,0.179,Below normal
1987-12-01,128.824,12,1987,1.771,0.846,Above normal
1988-01-01,207.853,1,1988,6.033,0.927,High flow
1988-02-01,32.577,2,1988,-0.437,0.700,Normal range
1988-03-01,10.616,3,1988,-0.767,0.512,Normal range
1988-04-01,14.611,4,1988,-0.844,0.415,Normal range
1988-05-01,8.502,5,1988,-0.939,0.179,Below normal
1988-06-01,7.947,6,1988,-0.940,0.111,Low flow
1988-07-01,105.177,7,1988,-0.179,0.472,Normal range
1988-08-01,127.555,8,1988,0.057,0.632,Normal range
1988-09-01,53.800,9,1988,-0.613,0.150,Below normal
1988-10-01,31.220,10,1988,-0.615,0.256,Below normal
1988-11-01,7.674,11,1988,-0.910,0.077,Low flow
1988-12-01,3.091,12,1988,-0.934,0.051,Low flow
1989-01-01,1.882,1,1989,-0.936,0.049,Low flow
1989-02-01,1.205,2,1989,-0.979,0.025,Low flow
1989-03-01,1.936,3,1989,-0.957,0.073,Low flow
1989-04-01,2.581,4,1989,-0.973,0.024,Low flow
1989-05-01,2.040,5,1989,-0.985,0.026,Low flow
1989-06-01,1.229,6,1989,-0.991,0.028,Low flow
1989-07-01,2.026,7,1989,-0.984,0.028,Low flow
1989-08-01,13.761,8,1989,-0.886,0.053,Low flow
1989-09-01,9.839,9,1989,-0.929,0.025,Low flow
1989-10-01,3.138,10,1989,-0.961,0.026,Low flow
1989-11-01,117.063,11,1989,0.368,0.795,Above normal
1989-12-01,18.982,12,1989,-0.592,0.462,Normal range
1990-01-01,2.542,1,1990,-0.914,0.073,Low flow
1990-02-01,436.846,2,1990,6.549,0.975,High flow
1990-03-01,156.844,3,1990,2.445,0.927,High flow
1990-04-01,322.849,4,1990,2.440,0.902,High flow
1990-05-01,60.848,5,1990,-0.565,0.615,Normal range
1990-06-01,53.100,6,1990,-0.600,0.500,Normal range
1990-07-01,20.067,7,1990,-0.843,0.139,Below normal
1990-08-01,10.886,8,1990,-0.910,0.026,Low flow
1990-09-01,57.457,9,1990,-0.587,0.175,Below normal
1990-10-01,44.440,10,1990,-0.452,0.359,Normal range
1990-11-01,141.457,11,1990,0.653,0.846,Above normal
1990-12-01,117.213,12,1990,1.521,0.795,Above normal
1991-01-01,7.156,1,1991,-0.758,0.390,Normal range
1991-02-01,2.917,2,1991,-0.950,0.150,Below normal
1991-03-01,2.935,3,1991,-0.936,0.122,Low flow
1991-04-01,3.973,4,1991,-0.958,0.098,Low flow
1991-05-01,22.431,5,1991,-0.840,0.385,Normal range
1991-06-01,281.129,6,1991,1.118,0.806,Above normal
1991-07-01,287.828,7,1991,1.246,0.917,High flow
1991-08-01,85.115,8,1991,-0.295,0.421,Normal range
1991-09-01,100.201,9,1991,-0.280,0.450,Normal range
1991-10-01,117.801,10,1991,0.452,0.667,Normal range
1991-11-01,56.899,11,1991,-0.335,0.615,Normal range
1991-12-01,143.995,12,1991,2.097,0.897,High flow
1992-01-01,15.232,1,1992,-0.485,0.561,Normal range
1992-02-01,21.650,2,1992,-0.626,0.625,Normal range
1992-03-01,48.383,3,1992,0.063,0.780,Above normal
1992-04-01,70.766,4,1992,-0.246,0.683,Normal range
1992-05-01,285.063,5,1992,1.036,0.872,High flow
