date,discharge,startMonth,endMonth,year,average_percentage,percentile,percentile_range
1980-01-01,,11,1,1980,,,
1980-02-01,,12,2,1980,,,
1980-03-01,7.136,1,3,1980,-0.831,0.270,Below normal
1980-04-01,70.793,2,4,1980,0.060,0.703,Normal range
1980-05-01,81.817,3,5,1980,-0.076,0.676,Normal range
1980-06-01,180.959,4,6,1980,0.531,0.765,Above normal
1980-07-01,182.602,5,7,1980,0.406,0.781,Above normal
1980-08-01,223.407,6,8,1980,0.768,0.938,High flow
1980-09-01,124.333,7,9,1980,-0.050,0.412,Normal range
1980-10-01,116.146,8,10,1980,-0.012,0.500,Normal range
1980-11-01,66.744,9,11,1980,-0.351,0.162,Below normal
1980-12-01,76.880,10,12,1980,0.048,0.629,Normal range
1981-01-01,20.817,11,1,1981,-0.600,0.389,Normal range
1981-02-01,31.974,12,2,1981,-0.277,0.556,Normal range
1981-03-01,19.726,1,3,1981,-0.533,0.432,Normal range
1981-04-01,20.308,2,4,1981,-0.696,0.351,Normal range
1981-05-01,64.773,3,5,1981,-0.269,0.595,Normal range
1981-06-01,77.311,4,6,1981,-0.346,0.500,Normal range
1981-07-01,151.243,5,7,1981,0.164,0.656,Normal range
1981-08-01,134.523,6,8,1981,0.065,0.656,Normal range
1981-09-01,195.072,7,9,1981,0.491,0.853,Above normal
1981-10-01,127.089,8,10,1981,0.081,0.556,Normal range
1981-11-01,94.493,9,11,1981,-0.082,0.459,Normal range
1981-12-01,21.423,10,12,1981,-0.708,0.171,Below normal
1982-01-01,13.497,11,1,1982,-0.740,0.167,Below normal
1982-02-01,6.202,12,2,1982,-0.860,0.139,Below normal
1982-03-01,5.347,1,3,1982,-0.874,0.216,Below normal
1982-04-01,,2,4,1982,,,
1982-05-01,,3,5,1982,,,
1982-06-01,,4,6,1982,,,
1982-07-01,181.940,5,7,1982,0.401,0.750,Above normal
1982-08-01,211.988,6,8,1982,0.677,0.875,High flow
1982-09-01,229.873,7,9,1982,0.757,0.971,High flow
1982-10-01,146.369,8,10,1982,0.245,0.639,Normal range
1982-11-01,129.205,9,11,1982,0.256,0.730,Above normal
1982-12-01,41.996,10,12,1982,-0.428,0.314,Normal range
1983-01-01,21.955,11,1,1983,-0.578,0.417,Normal range
1983-02-01,9.336,12,2,1983,-0.789,0.222,Below normal
1983-03-01,9.435,1,3,1983,-0.777,0.351,Normal range
1983-04-01,16.832,2,4,1983,-0.748,0.270,Below normal
1983-05-01,16.271,3,5,1983,-0.816,0.270,Below normal
1983-06-01,31.291,4,6,1983,-0.735,0.382,Normal range
1983-07-01,60.543,5,7,1983,-0.534,0.344,Normal range
1983-08-01,114.018,6,8,1983,-0.098,0.500,Normal range
1983-09-01,161.135,7,9,1983,0.232,0.618,Normal range
1983-10-01,186.194,8,10,1983,0.583,0.861,Above normal
1983-11-01,261.118,9,11,1983,1.538,0.973,High flow
1983-12-01,203.338,10,12,1983,1.771,0.971,High flow
1984-01-01,211.562,11,1,1984,3.070,0.972,High flow
1984-02-01,163.142,12,2,1984,2.688,0.944,High flow
